Select Report Version: Canada’s Energy Future 2018,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36
Select Appendices: End - Use Prices,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Select Case: Reference,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Select Sector: Commercial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
_,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0,2024.0,2025.0,2026.0,2027.0,2028.0,2029.0,2030.0,2031.0,2032.0,2033.0,2034.0,2035.0,2036.0,2037.0,2038.0,2039.0,2040.0
Electricity,28.19,26.38,25.76,26.8,26.33,26.34,27.49,28.8,30.42,30.24,27.28,31.8,32.13,32.8,33.35,33.76,34.27,34.76,35.23,35.69,36.1,36.5,36.89,37.25,37.6,37.94,38.26,38.57,38.84,39.11,39.37,39.61,39.86,40.1,40.32,40.54
Natural Gas,11.23,11.57,10.09,11.03,9.09,8.61,7.36,6.5,6.56,7.39,6.96,6.08,6.45,6.99,6.94,7.11,7.29,7.63,7.92,7.98,8.07,8.21,8.23,8.27,8.33,8.38,8.44,8.51,8.6,8.65,8.68,8.71,8.73,8.73,8.73,8.72
Oil,22.45,23.38,24.27,30.04,21.89,24.66,27.91,29.14,27.85,31.29,24.56,22.38,24.08,29.21,32.54,35.53,32.65,31.16,31.2,31.1,31.21,31.27,31.11,30.91,30.75,30.58,30.48,30.41,30.38,30.37,30.35,30.31,30.26,30.17,30.09,29.99
