Select Report Version: Canada’s Energy Future 2018,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36
Select Appendices: End - Use Prices,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Select Case: Reference,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Select Sector: Industrial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
_,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0,2024.0,2025.0,2026.0,2027.0,2028.0,2029.0,2030.0,2031.0,2032.0,2033.0,2034.0,2035.0,2036.0,2037.0,2038.0,2039.0,2040.0
Electricity,17.65,19.48,19.7,21.15,20.22,19.36,20.44,21.86,23.36,21.85,19.67,21.67,22.44,22.75,23.07,23.38,23.69,23.97,24.22,24.47,24.7,24.92,25.11,25.3,25.48,25.64,25.8,25.95,26.08,26.23,26.38,26.51,26.63,26.76,26.87,26.97
Natural Gas,9.55,8.98,6.72,8.38,5.99,5.09,4.49,3.37,4.06,5.11,3.83,3.12,3.57,3.64,3.81,3.88,3.94,4.26,4.52,4.5,5.2,5.28,5.3,5.34,5.39,5.45,5.52,5.6,5.68,5.73,5.76,5.8,5.82,5.82,5.83,5.83
Oil,11.05,11.74,12.39,15.9,11.66,13.79,17.43,18.0,16.82,17.05,12.57,11.6,13.37,18.06,16.2,9.04,9.85,11.1,12.44,13.34,14.31,15.17,15.82,16.43,17.07,17.7,17.75,17.83,17.95,18.09,18.22,18.34,18.44,18.5,18.57,18.55
