Select Report Version: Canada’s Energy Future 2018,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36
Select Appendices: End - Use Prices,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Select Case: Reference,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Select Sector: Residential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
_,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0,2024.0,2025.0,2026.0,2027.0,2028.0,2029.0,2030.0,2031.0,2032.0,2033.0,2034.0,2035.0,2036.0,2037.0,2038.0,2039.0,2040.0
Electricity,28.95,32.35,31.56,30.57,31.64,31.32,32.66,32.83,32.92,33.6,34.98,37.61,37.65,38.03,38.38,38.72,39.04,39.36,39.69,40.02,40.39,40.74,41.1,41.49,41.88,42.26,42.62,42.97,43.31,43.65,43.98,44.31,44.63,44.95,45.27,45.58
Natural Gas,15.81,16.04,14.76,14.82,12.89,12.69,11.75,10.82,10.77,11.71,10.65,8.93,10.82,9.86,9.53,9.67,9.87,10.19,10.44,10.53,10.64,10.82,10.85,10.9,10.96,11.02,11.09,11.18,11.28,11.33,11.37,11.41,11.43,11.43,11.44,11.44
Oil,25.71,26.31,26.43,33.2,23.79,26.91,32.58,33.74,33.31,34.46,28.23,24.61,27.26,31.59,35.08,38.95,36.01,34.17,34.06,34.04,34.25,34.39,34.22,34.02,33.84,33.67,33.58,33.51,33.49,33.5,33.49,33.46,33.42,33.34,33.27,33.18
