"Energy Consumption by Sector and Source"
"https://www.eia.gov/outlooks/aeo/data/browser/#/?id=2-AEO2018&sourcekey=0"
"Wed Jan 23 2019 09:21:41 GMT-0500 (Eastern Standard Time)"
"Source: U.S. Energy Information Administration"
"",full name,api key,"units","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025","2026","2027","2028","2029","2030","2031","2032","2033","2034","2035","2036","2037","2038","2039","2040","2041","2042","2043","2044","2045","2046","2047","2048","2049","2050","Growth (2017-2050)"
Residential,,2-AEO2018.2.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Propane,"Energy Use: Residential: Propane": Reference case,2-AEO2018.3.ref2018-d121317a,"quads",0.431797,0.488055,0.450261,0.435339,0.429144,0.422736,0.416814,0.411823,0.407108,0.402832,0.398913,0.395281,0.391606,0.387762,0.384054,0.380338,0.376423,0.37256,0.368916,0.365538,0.362119,0.358987,0.355634,0.352499,0.349694,0.347084,0.344618,0.342233,0.340056,0.337908,0.335937,0.334038,0.332153,0.330375,0.328715,"-1.2%"
Kerosene,"Energy Use: Residential: Kerosene": Reference case,2-AEO2018.4.ref2018-d121317a,"quads",0.009758,0.011035,0.009338,0.008681,0.008399,0.008067,0.007774,0.007562,0.007372,0.007198,0.007036,0.006878,0.00672,0.006561,0.006408,0.006255,0.006106,0.005964,0.005827,0.005698,0.005573,0.005442,0.005316,0.005197,0.005084,0.004976,0.004875,0.00478,0.004689,0.004599,0.004514,0.004427,0.004341,0.004261,0.004184,"-2.9%"
Distillate Fuel Oil,"Energy Use: Residential: Distillate Fuel Oil": Reference case,2-AEO2018.5.ref2018-d121317a,"quads",0.431347,0.469745,0.506871,0.467948,0.451719,0.435296,0.421858,0.411126,0.401871,0.393265,0.385191,0.377092,0.369023,0.360938,0.35307,0.345511,0.33825,0.331279,0.32457,0.318207,0.312105,0.305898,0.300038,0.294412,0.28908,0.283818,0.278784,0.273876,0.269177,0.264533,0.260062,0.255594,0.251148,0.246895,0.24271,"-2.0%"
Petroleum and Other Liquids Subtotal,"Energy Use: Residential: Liquid Fuels Subtotal": Reference case,2-AEO2018.6.ref2018-d121317a,"quads",0.872902,0.968835,0.96647,0.911968,0.889262,0.866098,0.846446,0.83051,0.816351,0.803295,0.79114,0.779251,0.76735,0.755261,0.743532,0.732104,0.72078,0.709804,0.699313,0.689443,0.679797,0.670327,0.660988,0.652108,0.643859,0.635877,0.628278,0.620888,0.613921,0.60704,0.600513,0.59406,0.587641,0.58153,0.575608,"-1.6%"
Natural Gas,"Energy Use: Residential: Natural Gas": Reference case,2-AEO2018.7.ref2018-d121317a,"quads",4.505791,4.543099,4.916043,4.787631,4.774276,4.764735,4.762706,4.759621,4.751728,4.744448,4.742731,4.742666,4.743327,4.740747,4.73943,4.738028,4.734153,4.729216,4.723504,4.718868,4.711003,4.702787,4.694726,4.688712,4.685533,4.683969,4.682521,4.683413,4.686722,4.689736,4.693062,4.696352,4.699564,4.701936,4.703491,"0.1%"
Renewable Energy,"Energy Use: Residential: Renewable Energy": Reference case,2-AEO2018.8.ref2018-d121317a,"quads",0.344501,0.329835,0.37998,0.367119,0.376461,0.384659,0.386174,0.381509,0.375609,0.369493,0.363041,0.356945,0.351319,0.346374,0.340839,0.335808,0.330766,0.325995,0.321434,0.317041,0.3126,0.309471,0.30629,0.303295,0.300325,0.297446,0.294108,0.290542,0.286885,0.2833,0.27946,0.275968,0.272925,0.269753,0.266506,"-0.6%"
Electricity,"Energy Use: Residential: Electricity": Reference case,2-AEO2018.9.ref2018-d121317a,"quads",4.80203,4.687212,4.793955,4.856934,4.806935,4.774171,4.760086,4.750666,4.744183,4.739233,4.748814,4.762638,4.780996,4.801598,4.807737,4.816302,4.827342,4.841342,4.865354,4.891209,4.918841,4.947033,4.973689,5.000785,5.016808,5.035307,5.056483,5.081271,5.109193,5.138336,5.168607,5.198561,5.222041,5.244645,5.27302,"0.4%"
Delivered Energy,"Energy Use: Residential: Delivered Energy": Reference case,2-AEO2018.10.ref2018-d121317a,"quads",10.525223,10.528981,11.056448,10.923651,10.846933,10.789663,10.755412,10.722306,10.687872,10.656468,10.645726,10.6415,10.642993,10.643978,10.631537,10.62224,10.61304,10.606356,10.609606,10.616562,10.622242,10.629617,10.635694,10.644902,10.646524,10.652598,10.66139,10.676116,10.69672,10.718414,10.741641,10.76494,10.782171,10.797863,10.818624,"0.1%"
Electricity Related Losses,"Energy Use: Residential: Electricity Related Losses": Reference case,2-AEO2018.11.ref2018-d121317a,"quads",9.581803,9.217257,9.369234,9.417359,9.290726,9.151429,9.050922,8.957051,8.940293,8.909282,8.909907,8.909318,8.912838,8.932952,8.916537,8.890418,8.886017,8.896574,8.915165,8.951179,8.97744,9.007057,9.03132,9.061026,9.071204,9.072567,9.071629,9.084112,9.102135,9.111943,9.127199,9.146181,9.15699,9.169477,9.161812,"-0.0%"
