Back to Contents,Data 1: Natural Gas Electric Power Price ,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52
Sourcekey,N3045US3,N3045AL3,N3045AK3,N3045AZ3,N3045AR3,N3045CA3,N3045CO3,N3045CT3,N3045DE3,N3045DC3,N3045FL3,N3045GA3,N3045HI3,N3045ID3,N3045IL3,N3045IN3,N3045IA3,N3045KS3,N3045KY3,N3045LA3,N3045ME3,N3045MD3,N3045MA3,N3045MI3,N3045MN3,N3045MS3,N3045MO3,N3045MT3,N3045NE3,N3045NV3,N3045NH3,N3045NJ3,N3045NM3,N3045NY3,N3045NC3,N3045ND3,N3045OH3,N3045OK3,N3045OR3,N3045PA3,N3045RI3,N3045SC3,N3045SD3,N3045TN3,N3045TX3,N3045UT3,N3045VT3,N3045VA3,N3045WA3,N3045WV3,N3045WI3,N3045WY3
Date,U.S. Natural Gas Electric Power Price (Dollars per Thousand Cubic Feet),Alabama Natural Gas Price Sold to Electric Power Consumers (Dollars per Thousand Cubic Feet),Alaska Natural Gas Price Sold to Electric Power Consumers (Dollars per Thousand Cubic Feet),Arizona Natural Gas Price Sold to Electric Power Consumers (Dollars per Thousand Cubic Feet),Arkansas Natural Gas Price Sold to Electric Power Consumers (Dollars per Thousand Cubic Feet),California Natural Gas Price Sold to Electric Power Consumers (Dollars per Thousand Cubic Feet),Colorado Natural Gas Price Sold to Electric Power Consumers (Dollars per Thousand Cubic Feet),Connecticut Natural Gas Price Sold to Electric Power Consumers (Dollars per Thousand Cubic Feet),Delaware Natural Gas Price Sold to Electric Power Consumers (Dollars per Thousand Cubic Feet),District of Columbia Natural Gas Price Sold to Electric Power Consumers (Dollars per Thousand Cubic Feet),Florida Natural Gas Price Sold to Electric Power Consumers (Dollars per Thousand Cubic Feet),Georgia Natural Gas Price Sold to Electric Power Consumers (Dollars per Thousand Cubic Feet),Hawaii Natural Gas Price Sold to Electric Power Consumers (Dollars per Thousand Cubic Feet),Idaho Natural Gas Price Sold to Electric Power Consumers (Dollars per Thousand Cubic Feet),Illinois Natural Gas Price Sold to Electric Power Consumers (Dollars per Thousand Cubic Feet),Indiana Natural Gas Price Sold to Electric Power Consumers (Dollars per Thousand Cubic Feet),Iowa Natural Gas Price Sold to Electric Power Consumers (Dollars per Thousand Cubic Feet),Kansas Natural Gas Price Sold to Electric Power Consumers (Dollars per Thousand Cubic Feet),Kentucky Natural Gas Price Sold to Electric Power Consumers (Dollars per Thousand Cubic Feet),Louisiana Natural Gas Price Sold to Electric Power Consumers (Dollars per Thousand Cubic Feet),Maine Natural Gas Price Sold to Electric Power Consumers (Dollars per Thousand Cubic Feet),Maryland Natural Gas Price Sold to Electric Power Consumers (Dollars per Thousand Cubic Feet),Massachusetts Natural Gas Price Sold to Electric Power Consumers (Dollars per Thousand Cubic Feet),Michigan Natural Gas Price Sold to Electric Power Consumers (Dollars per Thousand Cubic Feet),Minnesota Natural Gas Price Sold to Electric Power Consumers (Dollars per Thousand Cubic Feet),Mississippi Natural Gas Price Sold to Electric Power Consumers (Dollars per Thousand Cubic Feet),Missouri Natural Gas Price Sold to Electric Power Consumers (Dollars per Thousand Cubic Feet),Montana Natural Gas Price Sold to Electric Power Consumers (Dollars per Thousand Cubic Feet),Nebraska Natural Gas Price Sold to Electric Power Consumers (Dollars per Thousand Cubic Feet),Nevada Natural Gas Price Sold to Electric Power Consumers (Dollars per Thousand Cubic Feet),New Hampshire Natural Gas Price Sold to Electric Power Consumers (Dollars per Thousand Cubic Feet),New Jersey Natural Gas Price Sold to Electric Power Consumers (Dollars per Thousand Cubic Feet),New Mexico Natural Gas Price Sold to Electric Power Consumers (Dollars per Thousand Cubic Feet),New York Natural Gas Price Sold to Electric Power Consumers (Dollars per Thousand Cubic Feet),North Carolina Natural Gas Price Sold to Electric Power Consumers (Dollars per Thousand Cubic Feet),North Dakota Natural Gas Price Sold to Electric Power Consumers (Dollars per Thousand Cubic Feet),Ohio Natural Gas Price Sold to Electric Power Consumers (Dollars per Thousand Cubic Feet),Oklahoma Natural Gas Price Sold to Electric Power Consumers (Dollars per Thousand Cubic Feet),Oregon Natural Gas Price Sold to Electric Power Consumers (Dollars per Thousand Cubic Feet),Pennsylvania Natural Gas Price Sold to Electric Power Consumers (Dollars per Thousand Cubic Feet),Rhode Island Natural Gas Price Sold to Electric Power Consumers (Dollars per Thousand Cubic Feet),South Carolina Natural Gas Price Sold to Electric Power Consumers (Dollars per Thousand Cubic Feet),South Dakota Natural Gas Price Sold to Electric Power Consumers (Dollars per Thousand Cubic Feet),Tennessee Natural Gas Price Sold to Electric Power Consumers (Dollars per Thousand Cubic Feet),Texas Natural Gas Price Sold to Electric Power Consumers (Dollars per Thousand Cubic Feet),Utah Natural Gas Price Sold to Electric Power Consumers (Dollars per Thousand Cubic Feet),Vermont Natural Gas Price Sold to Electric Power Consumers (Dollars per Thousand Cubic Feet),Virginia Natural Gas Price Sold to Electric Power Consumers (Dollars per Thousand Cubic Feet),Washington Natural Gas Price Sold to Electric Power Consumers (Dollars per Thousand Cubic Feet),West Virginia Natural Gas Price Sold to Electric Power Consumers (Dollars per Thousand Cubic Feet),Wisconsin Natural Gas Price Sold to Electric Power Consumers (Dollars per Thousand Cubic Feet),Wyoming Natural Gas Price Sold to Electric Power Consumers (Dollars per Thousand Cubic Feet)
2002-01-15 00:00:00,3.1,,,2.62,,3.42,2.86,2.89,,,3.44,3.16,,,2.81,,3.44,2.26,,,3.19,3.39,2.91,3.43,,2.61,,,3.12,4.85,,3.59,,3.42,,,4.21,,,3.38,4.46,,,,2.65,,3.54,,2.72,3.23,,7.21
2002-02-15 00:00:00,2.86,,2.57,2.54,,3.23,2.56,2.75,,,3.29,2.97,,,2.69,,2.91,2.27,,,3.07,3.45,2.62,3.29,,2.39,,4.69,2.22,4.73,,3.2,,3.13,,2.89,,,,3.14,4,,,,2.36,9.98,2.73,,,3.01,2.45,5.09
2002-03-15 00:00:00,3.37,,2.77,3.28,,3.71,2.92,3.66,,,3.61,3.5,,,3.45,3.18,3.18,2.94,,,3.81,3.59,3.09,3.48,,2.92,,4.82,4.57,5.32,,3.52,,3.55,,2.68,3.4,,,3.47,4.25,,,,2.96,,3.13,,,3.41,2.74,4.43
2002-04-15 00:00:00,3.8,,2.46,3.31,,4.01,2.91,4.17,,,4.17,3.86,,,3.36,3.53,4.34,3.45,,,3.89,4.11,3.32,3.6,,,,,3.65,5.17,3.97,4.47,,4.16,3.64,,4.04,,,3.88,4.44,,,,3.57,,,,,4.29,3.55,3.91
2002-05-15 00:00:00,3.78,,2.38,3,,3.84,2.71,4.05,,,4.21,4.07,,,3.86,3.82,4.2,3.39,,,4.05,4.16,3.51,3.49,,,,,4.47,4.59,3.81,4.08,,4.14,,,4.41,,,4.33,4.98,,,,3.52,,,,,4.44,3.83,
2002-06-15 00:00:00,3.61,,2.4,2.94,,3.55,2.11,4.07,,,4.05,3.68,,,3.62,3.38,3.89,3.24,,3.61,3.78,4.11,3.41,3.67,,3.53,,,3.93,4.38,3.39,4.28,,4.02,3.4,,3.79,,,3.84,5.06,,,,3.39,5.13,,,,4.79,3.73,
2002-07-15 00:00:00,3.49,,2.12,3.08,,3.51,1.91,3.71,,,3.95,3.4,,,3.23,3.23,3.73,3.04,,3.49,3.46,3.81,3.43,3.49,,3.33,,,3.12,3.87,3.38,4.15,,3.92,3.41,2.14,3.44,,,3.68,4.7,,,,3.37,,,3.74,,3.69,3.35,2.85
2002-08-15 00:00:00,3.42,,2.12,2.97,,3.48,2.22,3.59,,,3.88,3.48,,,3.44,3.22,3.28,2.97,,3.34,3.69,3.97,3.44,3.42,,3.32,,,3.8,3.93,3.58,3.91,,3.87,3.47,,3.61,,2.69,3.71,4.2,,,,3.21,,,3.77,2.61,4.18,3.14,2.89
