"Natural Gas Consumption by End-Use Sector and Census Division"
"https://www.eia.gov/outlooks/aeo/data/browser/#/?id=77-AEO2018&cases=ref2018&maptype=1&sourcekey=0"
"Wed Jan 23 2019 09:21:35 GMT-0500 (Eastern Standard Time)"
"Source: U.S. Energy Information Administration"
"",full name,api key,"units","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025","2026","2027","2028","2029","2030","2031","2032","2033","2034","2035","2036","2037","2038","2039","2040","2041","2042","2043","2044","2045","2046","2047","2048","2049","2050","Growth (2017-2050)"
Residential,"Natural Gas Use: Residential: Total": Reference case,77-AEO2018.2.ref2018-d121317a,"Tcf",4.345025,4.381002,4.74064,4.616809,4.60393,4.59473,4.592773,4.589798,4.582188,4.575167,4.573512,4.573448,4.574086,4.571599,4.570328,4.568976,4.565239,4.560478,4.554971,4.5505,4.542915,4.534993,4.527219,4.52142,4.518354,4.516845,4.51545,4.51631,4.519501,4.522408,4.525615,4.528787,4.531885,4.534172,4.535672,"0.1%"
New England,"Natural Gas Use: Residential: New England": Reference case,77-AEO2018.3.ref2018-d121317a,"Tcf",0.188272,0.197093,0.210136,0.201065,0.201039,0.201157,0.201443,0.201766,0.202276,0.202927,0.203596,0.204196,0.204692,0.20515,0.205507,0.205784,0.205909,0.206008,0.206075,0.206124,0.206052,0.205947,0.205845,0.205716,0.20565,0.20567,0.205726,0.205823,0.205921,0.206053,0.206176,0.206285,0.206314,0.206318,0.206306,"0.1%"
Middle Atlantic,"Natural Gas Use: Residential: Middle Atlantic": Reference case,77-AEO2018.4.ref2018-d121317a,"Tcf",0.841857,0.858728,0.911217,0.871192,0.865935,0.861186,0.857678,0.853722,0.851402,0.849503,0.848391,0.846998,0.846032,0.844417,0.84299,0.841495,0.839655,0.837542,0.835334,0.833099,0.830353,0.827471,0.824601,0.822037,0.819912,0.817928,0.815855,0.814013,0.81257,0.810987,0.809306,0.807601,0.805907,0.803925,0.801875,"-0.2%"
East North Central,"Natural Gas Use: Residential: East North Central": Reference case,77-AEO2018.5.ref2018-d121317a,"Tcf",1.187123,1.149864,1.270827,1.232949,1.222075,1.212454,1.204847,1.196923,1.19017,1.183526,1.177873,1.172567,1.167743,1.162358,1.157262,1.152414,1.146854,1.141248,1.135424,1.129921,1.123398,1.116865,1.110189,1.104257,1.098784,1.093598,1.088509,1.083841,1.079828,1.075474,1.071313,1.067037,1.062857,1.058626,1.054159,"-0.3%"
West North Central,"Natural Gas Use: Residential: West North Central": Reference case,77-AEO2018.6.ref2018-d121317a,"Tcf",0.374939,0.382126,0.418874,0.409799,0.408713,0.408361,0.408755,0.40899,0.409345,0.409276,0.409557,0.409746,0.410126,0.410312,0.410603,0.410895,0.410994,0.410994,0.410938,0.411024,0.41085,0.410593,0.41036,0.41023,0.410432,0.410738,0.41091,0.411396,0.41196,0.412556,0.413051,0.413664,0.414192,0.414655,0.415001,"0.3%"
South Atlantic,"Natural Gas Use: Residential: South Atlantic": Reference case,77-AEO2018.7.ref2018-d121317a,"Tcf",0.420848,0.40352,0.453396,0.446724,0.449,0.450587,0.452831,0.454918,0.457483,0.459941,0.462593,0.465047,0.467378,0.469346,0.471411,0.473308,0.474832,0.476204,0.4776,0.479247,0.48046,0.481637,0.482855,0.484275,0.486033,0.488007,0.489977,0.492249,0.494986,0.497629,0.500316,0.503013,0.505683,0.50834,0.510774,"0.7%"
East South Central,"Natural Gas Use: Residential: East South Central": Reference case,77-AEO2018.8.ref2018-d121317a,"Tcf",0.153009,0.137116,0.168998,0.166333,0.165596,0.164893,0.164447,0.163934,0.163499,0.162947,0.162496,0.162016,0.161572,0.161012,0.160512,0.159983,0.159362,0.1587,0.158051,0.157428,0.15668,0.155964,0.155277,0.154637,0.15416,0.153752,0.153312,0.153021,0.152818,0.1526,0.152438,0.15229,0.152112,0.15192,0.151694,"0.3%"
West South Central,"Natural Gas Use: Residential: West South Central": Reference case,77-AEO2018.9.ref2018-d121317a,"Tcf",0.284428,0.281915,0.322942,0.324413,0.325809,0.326815,0.328471,0.330027,0.33127,0.332199,0.333189,0.334085,0.334809,0.33547,0.336262,0.336977,0.337431,0.337765,0.337945,0.338357,0.338572,0.338784,0.339056,0.339519,0.340256,0.341183,0.342119,0.343289,0.344646,0.346056,0.347495,0.34897,0.350452,0.351792,0.3531,"0.7%"
Mountain,"Natural Gas Use: Residential: Mountain": Reference case,77-AEO2018.10.ref2018-d121317a,"Tcf",0.348652,0.354705,0.373201,0.373223,0.374238,0.375918,0.378119,0.380372,0.38291,0.385219,0.387739,0.390324,0.392857,0.395171,0.397728,0.400178,0.4025,0.404656,0.406858,0.409187,0.411349,0.413489,0.415669,0.418016,0.420629,0.423396,0.426199,0.429234,0.432461,0.43575,0.439166,0.442566,0.445928,0.449168,0.452382,"0.7%"
Pacific,"Natural Gas Use: Residential: Pacific": Reference case,77-AEO2018.11.ref2018-d121317a,"Tcf",0.545896,0.615936,0.611049,0.59111,0.591526,0.59336,0.596183,0.599146,0.593833,0.58963,0.588075,0.588468,0.588877,0.588362,0.588051,0.587941,0.587702,0.587361,0.586747,0.586114,0.585201,0.584244,0.583368,0.582733,0.582498,0.582574,0.582844,0.583445,0.58431,0.585302,0.586354,0.587362,0.58844,0.589425,0.590381,"-0.1%"
