"Natural Gas Delivered Prices by End-Use Sector and Census Division"
"https://www.eia.gov/outlooks/aeo/data/browser/#/?id=78-AEO2018&cases=ref2018&maptype=1&sourcekey=0"
"Wed Jan 23 2019 09:21:46 GMT-0500 (Eastern Standard Time)"
"Source: U.S. Energy Information Administration"
"",full name,api key,"units","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025","2026","2027","2028","2029","2030","2031","2032","2033","2034","2035","2036","2037","2038","2039","2040","2041","2042","2043","2044","2045","2046","2047","2048","2049","2050","Growth (2017-2050)"
Residential,"Natural Gas Delivered: Residential: Average": Reference case,78-AEO2018.2.ref2018-d121317a,"2017 $/Mcf",10.296171,11.171783,10.774915,11.188277,11.473181,11.585755,11.694033,11.943105,12.295752,12.455884,12.493803,12.574269,12.576947,12.740865,12.740572,12.777508,12.819475,12.861158,12.901688,12.937489,13.050877,13.115227,13.186914,13.23707,13.275923,13.342725,13.445877,13.475281,13.523982,13.613181,13.682769,13.748712,13.813663,13.906304,13.987081,"0.7%"
New England,"Natural Gas Delivered: Residential: New England": Reference case,78-AEO2018.3.ref2018-d121317a,"2017 $/Mcf",13.057754,13.575157,13.313422,13.871125,14.347557,14.657543,14.987531,15.343187,15.426679,15.494884,15.540483,15.589056,15.630183,15.687182,15.729073,15.781961,15.834471,15.848172,15.88104,15.909249,15.992169,16.01972,16.084402,16.140791,16.193359,16.218102,16.267574,16.299236,16.357929,16.378582,16.41407,16.456743,16.526634,16.565798,16.624491,"0.6%"
Middle Atlantic,"Natural Gas Delivered: Residential: Middle Atlantic": Reference case,78-AEO2018.4.ref2018-d121317a,"2017 $/Mcf",10.227038,11.109975,10.867103,11.52661,11.938447,12.233164,12.534499,12.986572,13.02923,13.18384,13.207801,13.291502,13.282491,13.433337,13.432843,13.475649,13.518026,13.570136,13.615035,13.655745,13.776061,13.841798,13.915718,13.964836,13.996775,14.068583,14.180407,14.196606,14.236547,14.327945,14.394077,14.460712,14.508862,14.611752,14.686508,"0.8%"
East North Central,"Natural Gas Delivered: Residential: East North Central": Reference case,78-AEO2018.5.ref2018-d121317a,"2017 $/Mcf",8.398367,9.382366,9.10833,9.560511,9.862244,10.005149,10.142543,10.432048,10.493328,10.655877,10.688464,10.767621,10.761981,10.890616,10.884205,10.919972,10.96141,11.00614,11.045567,11.083465,11.198042,11.270369,11.346115,11.395474,11.434411,11.505418,11.614752,11.646218,11.695361,11.795827,11.870669,11.942207,12.006154,12.10474,12.186394,"0.8%"
West North Central,"Natural Gas Delivered: Residential: West North Central": Reference case,78-AEO2018.6.ref2018-d121317a,"2017 $/Mcf",9.120034,9.966691,9.919244,10.274179,10.503294,10.547728,10.579096,10.766041,10.820233,10.984006,11.015894,11.095672,11.088695,11.210761,11.198986,11.229877,11.264804,11.3043,11.339059,11.371282,11.478615,11.547519,11.617166,11.661345,11.695324,11.760409,11.865971,11.892788,11.941298,12.040615,12.116618,12.183952,12.249301,12.347867,12.430529,"0.7%"
South Atlantic,"Natural Gas Delivered: Residential: South Atlantic": Reference case,78-AEO2018.7.ref2018-d121317a,"2017 $/Mcf",12.667498,14.226667,12.833897,13.260526,13.623365,13.831996,14.048541,14.416187,14.461851,14.618378,14.6418,14.717257,14.708517,14.842448,14.832415,14.86748,14.906647,14.941806,14.975043,15.00464,15.124593,15.182821,15.250868,15.294315,15.322721,15.382895,15.492657,15.512274,15.548542,15.63207,15.691967,15.754909,15.812559,15.900216,15.976492,"0.4%"
East South Central,"Natural Gas Delivered: Residential: East South Central": Reference case,78-AEO2018.8.ref2018-d121317a,"2017 $/Mcf",10.708294,12.493801,11.656921,12.009052,12.273311,12.335419,12.387234,12.630578,12.691308,12.883007,12.913563,13.007398,12.992404,13.138955,13.119516,13.156322,13.198991,13.240948,13.274027,13.30989,13.438724,13.510073,13.587003,13.63293,13.667389,13.738741,13.861412,13.884465,13.930832,14.032765,14.104697,14.175153,14.238132,14.339911,14.421284,"0.4%"
West South Central,"Natural Gas Delivered: Residential: West South Central": Reference case,78-AEO2018.9.ref2018-d121317a,"2017 $/Mcf",11.817057,12.821202,11.55564,11.725432,11.883211,11.824039,11.762534,11.860923,11.921495,12.078408,12.105327,12.181104,12.177495,12.288961,12.270174,12.292431,12.317804,12.339439,12.357162,12.372143,12.471843,12.520749,12.582151,12.616435,12.643183,12.690129,12.778788,12.793781,12.832129,12.908658,12.963635,13.014997,13.069771,13.147017,13.213508,"0.1%"
Mountain,"Natural Gas Delivered: Residential: Mountain": Reference case,78-AEO2018.10.ref2018-d121317a,"2017 $/Mcf",9.134276,9.418589,9.582741,9.909718,10.218064,10.361519,10.493484,10.742378,10.821932,10.976,11.033328,11.116449,11.141581,11.245144,11.261184,11.302587,11.348808,11.393525,11.438951,11.477664,11.580388,11.644942,11.710396,11.763124,11.809213,11.874224,11.964484,12.00378,12.058565,12.141905,12.214211,12.273907,12.34236,12.425314,12.504058,"0.9%"
Pacific,"Natural Gas Delivered: Residential: Pacific": Reference case,78-AEO2018.11.ref2018-d121317a,"2017 $/Mcf",12.391195,12.536148,12.360908,12.521441,12.525596,12.279166,12.016074,11.875115,14.188679,14.370501,14.431596,14.502626,14.5165,14.918931,14.922657,14.945572,14.984211,15.017868,15.065874,15.099254,15.209188,15.266191,15.330439,15.388622,15.435967,15.509005,15.600202,15.64392,15.700741,15.783061,15.856736,15.920968,16.006746,16.095617,16.191172,"0.8%"
