"Energy Consumption by Sector and Source"
"https://www.eia.gov/outlooks/aeo/data/browser/#/?id=2-AEO2017&cases=ref2017&sourcekey=0"
"Sun Oct 28 2018 17:17:29 GMT-0400 (Eastern Daylight Time)"
"Source: U.S. Energy Information Administration"
"",full name,api key,"units","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025","2026","2027","2028","2029","2030","2031","2032","2033","2034","2035","2036","2037","2038","2039","2040","2041","2042","2043","2044","2045","2046","2047","2048","2049","2050","Growth (2016-2050)"
Residential,,2-AEO2017.2.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Propane,"Energy Use: Residential: Propane": Reference case,2-AEO2017.3.ref2017-d120816a,"quads",0.473162,0.431797,0.456497,0.456517,0.450271,0.445362,0.441554,0.437106,0.432684,0.429072,0.42605,0.423066,0.419817,0.416569,0.413573,0.410677,0.407258,0.403542,0.400343,0.397485,0.39495,0.392204,0.389648,0.387041,0.384285,0.381862,0.379606,0.377611,0.375713,0.373961,0.372403,0.370847,0.369273,0.367611,0.366091,0.36457,"-0.5%"
Kerosene,"Energy Use: Residential: Kerosene": Reference case,2-AEO2017.4.ref2017-d120816a,"quads",0.009758,0.009758,0.011269,0.010637,0.010123,0.009748,0.009464,0.009216,0.008989,0.008781,0.008574,0.008368,0.008168,0.007984,0.007804,0.007617,0.007427,0.007237,0.007069,0.006909,0.006757,0.0066,0.006454,0.006315,0.006178,0.006045,0.00592,0.005799,0.005681,0.005564,0.005449,0.005332,0.005213,0.005098,0.004986,0.004875,"-2.0%"
Distillate Fuel Oil,"Energy Use: Residential: Distillate Fuel Oil": Reference case,2-AEO2017.5.ref2017-d120816a,"quads",0.514773,0.431354,0.507631,0.481744,0.465711,0.452532,0.44107,0.430768,0.421187,0.412329,0.403345,0.394507,0.386133,0.378232,0.370512,0.362539,0.354705,0.346976,0.340102,0.333596,0.327347,0.320921,0.314935,0.309314,0.303823,0.298575,0.29359,0.288747,0.284041,0.279378,0.274844,0.270251,0.265616,0.261144,0.256794,0.252453,"-1.6%"
Petroleum and Other Liquids Subtotal,"Energy Use: Residential: Liquid Fuels Subtotal": Reference case,2-AEO2017.6.ref2017-d120816a,"quads",0.997693,0.872909,0.975397,0.948897,0.926105,0.907642,0.892088,0.87709,0.86286,0.850182,0.83797,0.825942,0.814118,0.802785,0.791889,0.780832,0.76939,0.757755,0.747514,0.73799,0.729054,0.719725,0.711037,0.702669,0.694286,0.686482,0.679116,0.672158,0.665435,0.658904,0.652696,0.646431,0.640102,0.633852,0.627872,0.621899,"-1.0%"
Natural Gas,"Energy Use: Residential: Natural Gas": Reference case,2-AEO2017.7.ref2017-d120816a,"quads",4.757174,4.563908,4.765479,4.813304,4.802428,4.794781,4.79133,4.792284,4.795135,4.798526,4.79817,4.795413,4.784097,4.772815,4.763848,4.758921,4.753451,4.745883,4.739036,4.732169,4.720896,4.710109,4.700832,4.694421,4.689201,4.68798,4.688127,4.687469,4.68657,4.686465,4.686924,4.688098,4.690028,4.690119,4.690958,4.691435,"0.1%"
Renewable Energy,"Energy Use: Residential: Renewable Energy": Reference case,2-AEO2017.8.ref2017-d120816a,"quads",0.440932,0.373338,0.382023,0.399918,0.411374,0.41363,0.411704,0.407837,0.403628,0.399409,0.395798,0.392024,0.387317,0.381188,0.37527,0.370244,0.366117,0.362504,0.357335,0.35266,0.348059,0.345057,0.341559,0.337991,0.335113,0.332439,0.329152,0.325441,0.321761,0.318272,0.314918,0.311896,0.309358,0.306477,0.303598,0.301033,"-0.6%"
Electricity,"Energy Use: Residential: Electricity": Reference case,2-AEO2017.9.ref2017-d120816a,"quads",4.776403,4.810625,4.780662,4.835242,4.828907,4.773632,4.744377,4.719576,4.706628,4.710382,4.717607,4.724288,4.736067,4.754208,4.773802,4.784884,4.799917,4.817743,4.841113,4.869628,4.898304,4.927637,4.957467,4.989327,5.020275,5.045135,5.065891,5.086051,5.104714,5.122814,5.140799,5.157453,5.17076,5.179155,5.18572,5.189838,"0.2%"
Delivered Energy,"Energy Use: Residential: Delivered Energy": Reference case,2-AEO2017.10.ref2017-d120816a,"quads",10.972201,10.620781,10.90356,10.997361,10.968815,10.889684,10.839499,10.796786,10.768252,10.758499,10.749543,10.737666,10.721598,10.710999,10.704809,10.694883,10.688875,10.683884,10.684999,10.692447,10.696313,10.702529,10.710896,10.724408,10.738876,10.752035,10.762287,10.771117,10.778482,10.786453,10.795338,10.803877,10.810247,10.809604,10.808146,10.804205,"0.1%"
Electricity Related Losses,"Energy Use: Residential: Electricity Related Losses": Reference case,2-AEO2017.11.ref2017-d120816a,"quads",9.569791,9.386479,9.370535,9.384474,9.405828,9.347047,9.280358,9.219619,9.190005,9.150984,9.097077,9.018094,8.975627,8.940907,8.925586,8.904574,8.902377,8.889162,8.917674,8.904959,8.878765,8.913216,8.897772,8.914825,8.932128,8.960385,8.96512,8.972742,8.988356,8.982656,8.951747,8.935314,8.909016,8.891896,8.883463,8.821958,"-0.2%"
