"Natural Gas Consumption by End-Use Sector and Census Division"
"https://www.eia.gov/outlooks/aeo/data/browser/#/?id=77-AEO2017&cases=ref2017&sid=ref2017-d120816a.7-2-AEO2017.1-0~ref2017-d120816a.37-2-AEO2017.1-0~ref2017-d120816a.21-2-AEO2017.1-0~ref2017-d120816a.133-2-AEO2017.1-0&sourcekey=0"
"Sun Oct 14 2018 23:26:42 GMT-0400 (Eastern Daylight Time)"
"Source: U.S. Energy Information Administration"
"",full name,api key,"units","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025","2026","2027","2028","2029","2030","2031","2032","2033","2034","2035","2036","2037","2038","2039","2040","2041","2042","2043","2044","2045","2046","2047","2048","2049","2050","Growth (2016-2050)"
Pinned Series,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AEO2017: Energy Use: Total: Natural Gas: United States: Reference case,"AEO2017: Energy Use: Total: Natural Gas": Reference case,77-AEO2017.133.ref2017-d120816a,"quads",25.867336,26.272036,26.368879,26.538689,26.184626,25.537464,25.391535,25.346817,25.458069,25.836483,26.261702,26.636641,26.755241,26.965685,27.199978,27.350365,27.313507,27.521404,27.653097,28.038984,28.475842,28.638086,28.955599,29.242743,29.501671,29.653427,29.901611,30.123831,30.304522,30.590031,30.899366,31.160402,31.446032,31.645006,31.82686,32.273899,"0.6%"
AEO2017: Energy Use: Commercial: Natural Gas: United States: Reference case,"AEO2017: Energy Use: Commercial: Natural Gas": Reference case,77-AEO2017.21.ref2017-d120816a,"quads",3.301152,3.226752,3.325834,3.318756,3.273736,3.232385,3.214168,3.21874,3.225004,3.231071,3.237042,3.244271,3.244186,3.247428,3.255235,3.269132,3.285259,3.304047,3.325924,3.347447,3.364423,3.383347,3.403905,3.427597,3.452042,3.480521,3.509968,3.53896,3.567882,3.598798,3.629244,3.660043,3.69194,3.722347,3.753978,3.785122,"0.5%"
AEO2017: Energy Use: Industrial: Natural Gas: United States: Reference case,"AEO2017: Energy Use: Industrial: Natural Gas": Reference case,77-AEO2017.37.ref2017-d120816a,"quads",7.7757,7.948704,8.035201,8.292893,8.51012,8.592904,8.746511,8.921569,9.055437,9.126934,9.17168,9.208337,9.083787,9.08465,9.095231,9.119181,9.128681,9.186626,9.242893,9.319527,9.37844,9.475878,9.541924,9.602606,9.702723,9.771321,9.819653,9.86714,9.91624,9.989804,10.060245,10.129956,10.200499,10.252593,10.34789,10.435516,"0.8%"
AEO2017: Energy Use: Residential: Natural Gas: United States: Reference case,"AEO2017: Energy Use: Residential: Natural Gas": Reference case,77-AEO2017.7.ref2017-d120816a,"quads",4.757174,4.563908,4.765479,4.813304,4.802428,4.794781,4.79133,4.792284,4.795135,4.798526,4.79817,4.795413,4.784097,4.772815,4.763848,4.758921,4.753451,4.745883,4.739036,4.732169,4.720896,4.710109,4.700832,4.694421,4.689201,4.68798,4.688127,4.687469,4.68657,4.686465,4.686924,4.688098,4.690028,4.690119,4.690958,4.691435,"0.1%"
Residential,"Natural Gas Use: Residential: Total": Reference case,77-AEO2017.2.ref2017-d120816a,"Tcf",4.609664,4.422392,4.617712,4.664055,4.653516,4.646106,4.642762,4.643686,4.646449,4.649734,4.64939,4.646718,4.635754,4.624821,4.616132,4.611358,4.606057,4.598724,4.592089,4.585435,4.574512,4.56406,4.55507,4.548858,4.5438,4.542616,4.542759,4.542121,4.54125,4.541149,4.541594,4.542731,4.544601,4.54469,4.545503,4.545964,"0.1%"
New England,"Natural Gas Use: Residential: New England": Reference case,77-AEO2017.3.ref2017-d120816a,"Tcf",0.210482,0.187061,0.210813,0.204089,0.204467,0.204751,0.205133,0.205543,0.206033,0.206599,0.207083,0.207494,0.207725,0.207698,0.207479,0.207149,0.206839,0.206413,0.205984,0.205455,0.20481,0.204149,0.203476,0.202955,0.202492,0.202144,0.201768,0.201338,0.200918,0.20046,0.199965,0.19945,0.198959,0.1984,0.197873,0.197496,"0.2%"
Middle Atlantic,"Natural Gas Use: Residential: Middle Atlantic": Reference case,77-AEO2017.4.ref2017-d120816a,"Tcf",0.928722,0.856986,0.89273,0.877782,0.874407,0.870511,0.866735,0.863314,0.860544,0.8587,0.857364,0.856442,0.854941,0.852453,0.84969,0.847005,0.844524,0.841651,0.838648,0.835331,0.831231,0.827113,0.823348,0.819961,0.816867,0.814722,0.812747,0.810643,0.808386,0.806006,0.803699,0.801211,0.799081,0.797004,0.794979,0.792463,"-0.2%"
East North Central,"Natural Gas Use: Residential: East North Central": Reference case,77-AEO2017.5.ref2017-d120816a,"Tcf",1.267519,1.198797,1.252564,1.25327,1.244699,1.237147,1.23054,1.225146,1.220173,1.215389,1.20997,1.204173,1.197493,1.190122,1.182988,1.17729,1.1722,1.166713,1.161988,1.156701,1.149183,1.142179,1.136305,1.131388,1.126209,1.122316,1.118666,1.11435,1.109834,1.105524,1.101011,1.097044,1.093128,1.088475,1.084541,1.080668,"-0.3%"
West North Central,"Natural Gas Use: Residential: West North Central": Reference case,77-AEO2017.6.ref2017-d120816a,"Tcf",0.397134,0.388925,0.410033,0.415874,0.414436,0.413656,0.413813,0.414815,0.415977,0.41697,0.417355,0.417314,0.417374,0.417356,0.417256,0.417233,0.417347,0.417384,0.417529,0.417848,0.417918,0.417846,0.417976,0.418287,0.418682,0.419221,0.419844,0.420444,0.420797,0.421321,0.421794,0.422357,0.422907,0.423332,0.42381,0.424302,"0.3%"
