"Natural Gas Delivered Prices by End-Use Sector and Census Division"
"https://www.eia.gov/outlooks/aeo/data/browser/#/?id=78-AEO2017&cases=ref2017&sourcekey=1"
"Wed Oct 31 2018 21:35:24 GMT-0400 (Eastern Daylight Time)"
"Source: U.S. Energy Information Administration"
"",full name,api key,"units","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025","2026","2027","2028","2029","2030","2031","2032","2033","2034","2035","2036","2037","2038","2039","2040","2041","2042","2043","2044","2045","2046","2047","2048","2049","2050","Growth (2016-2050)"
Residential,"Natural Gas Delivered: Residential: Average": Reference case,78-AEO2017.2.ref2017-d120816a,"2016 $/Mcf",10.581491,10.223999,10.913223,10.924879,11.061247,11.203528,11.309151,11.387752,11.477622,11.619105,11.78231,11.934673,12.399404,12.547935,12.688734,12.769217,12.877707,12.93284,12.947756,13.047062,13.243808,13.348307,13.453712,13.515018,13.600111,13.606278,13.668761,13.775083,13.905048,14.031,14.166486,14.284197,14.391644,14.550941,14.648525,14.800667,"1.1%"
New England,"Natural Gas Delivered: Residential: New England": Reference case,78-AEO2017.3.ref2017-d120816a,"2016 $/Mcf",13.41585,12.899922,12.961489,13.137776,13.275079,13.455655,13.672795,13.877332,14.033545,14.158169,14.252049,14.312514,14.445296,14.640194,14.848565,14.989127,15.051294,15.152939,15.223195,15.414258,15.667408,15.822673,15.991888,16.118237,16.244665,16.295874,16.425787,16.560719,16.728348,16.927933,17.133133,17.323698,17.47422,17.641209,17.784283,17.758345,"0.9%"
Middle Atlantic,"Natural Gas Delivered: Residential: Middle Atlantic": Reference case,78-AEO2017.4.ref2017-d120816a,"2016 $/Mcf",10.692219,10.474267,10.770102,10.845698,10.984719,11.214993,11.430656,11.644831,11.773812,11.866582,11.872799,11.849308,11.960361,12.109271,12.258183,12.365726,12.427859,12.52845,12.597826,12.792708,13.093483,13.25281,13.393704,13.532755,13.644246,13.626528,13.707451,13.821696,13.947694,14.108782,14.273545,14.427903,14.490964,14.584734,14.647893,14.821752,"1.0%"
East North Central,"Natural Gas Delivered: Residential: East North Central": Reference case,78-AEO2017.5.ref2017-d120816a,"2016 $/Mcf",8.804695,8.600463,9.395379,9.380095,9.473927,9.623528,9.709937,9.764274,9.84232,9.955382,10.077392,10.190573,10.404259,10.607363,10.738277,10.784368,10.834102,10.848917,10.808119,10.889605,11.133697,11.199574,11.2303,11.23956,11.293046,11.234483,11.261977,11.344504,11.449073,11.523598,11.628724,11.706454,11.796432,11.929878,11.978145,12.092793,"1.0%"
West North Central,"Natural Gas Delivered: Residential: West North Central": Reference case,78-AEO2017.6.ref2017-d120816a,"2016 $/Mcf",9.88663,9.154184,10.131899,10.200629,10.456924,10.662869,10.655354,10.602395,10.652365,10.761701,10.921655,11.112652,11.229809,11.378819,11.539399,11.607931,11.685718,11.715177,11.697248,11.726167,11.855838,11.904817,11.937289,11.947087,12.002444,12.007303,12.05277,12.154856,12.300666,12.406693,12.545915,12.653633,12.787886,12.971374,13.052733,13.176401,"1.1%"
South Atlantic,"Natural Gas Delivered: Residential: South Atlantic": Reference case,78-AEO2017.7.ref2017-d120816a,"2016 $/Mcf",13.266802,12.911676,13.52359,13.386351,13.345065,13.349649,13.562653,13.832712,13.974406,14.314888,14.591175,14.867014,15.462706,15.452444,15.56004,15.720245,15.812203,15.864575,15.870502,15.942073,16.054691,16.159056,16.503,16.595581,16.697178,16.707216,16.821281,16.908861,16.997349,17.096527,17.116606,17.197664,17.235352,17.328127,17.419262,17.677689,"0.9%"
East South Central,"Natural Gas Delivered: Residential: East South Central": Reference case,78-AEO2017.8.ref2017-d120816a,"2016 $/Mcf",11.075987,10.750502,11.526665,11.661686,12.075503,12.505395,12.497197,12.440495,12.511692,12.670352,12.829851,13.043048,13.239605,13.396863,13.559354,13.664938,13.819307,13.877245,13.875743,13.927794,14.087036,14.156281,14.225285,14.28417,14.379853,14.409309,14.478744,14.626032,14.807811,14.943499,15.132887,15.262431,15.388263,15.559811,15.660565,15.824371,"1.1%"
West South Central,"Natural Gas Delivered: Residential: West South Central": Reference case,78-AEO2017.9.ref2017-d120816a,"2016 $/Mcf",10.927235,10.395879,10.949285,10.946793,11.324827,11.756459,11.631046,11.509822,11.545228,11.680272,11.803318,12.013987,12.193272,12.350992,12.503757,12.602782,12.756476,12.80607,12.797353,12.840446,12.992617,13.037139,13.090844,13.144008,13.238812,13.265672,13.334356,13.473557,13.651092,13.764802,13.912606,14.037698,14.186754,14.389929,14.476966,14.61097,"1.0%"
Mountain,"Natural Gas Delivered: Residential: Mountain": Reference case,78-AEO2017.10.ref2017-d120816a,"2016 $/Mcf",9.864552,9.502781,10.624923,10.628624,10.704901,10.637138,10.758399,10.769115,10.844788,11.009731,11.302764,11.542806,11.64591,11.769191,11.877506,11.905045,11.932973,12.002143,12.06584,12.154742,12.296886,12.475209,12.610589,12.691106,12.804231,12.914254,12.97438,13.099157,13.251562,13.423806,13.601659,13.74558,13.918954,14.171634,14.350296,14.53177,"1.3%"
Pacific,"Natural Gas Delivered: Residential: Pacific": Reference case,78-AEO2017.11.ref2017-d120816a,"2016 $/Mcf",11.898591,11.298614,12.239448,12.156436,12.219067,12.124474,12.19541,12.203194,12.251503,12.36032,12.689106,12.952014,15.149851,15.298025,15.425963,15.457766,15.803094,15.85658,15.889245,15.966322,16.072113,16.171757,16.216856,16.239769,16.297554,16.335533,16.365915,16.451975,16.56267,16.696152,16.837132,16.940739,17.060072,17.26392,17.420971,17.565184,"1.3%"
