"Natural Gas Imports and Exports"
"https://www.eia.gov/outlooks/aeo/data/browser/#/?id=76-AEO2017&region=0-0&cases=ref2017&start=2015&end=2050&f=A&linechart=ref2017-d120816a.22-76-AEO2017&ctype=linechart&sourcekey=0"
"Sun Nov 11 2018 23:49:16 GMT-0500 (Eastern Standard Time)"
"Source: U.S. Energy Information Administration"
"",full name,api key,"units","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025","2026","2027","2028","2029","2030","2031","2032","2033","2034","2035","2036","2037","2038","2039","2040","2041","2042","2043","2044","2045","2046","2047","2048","2049","2050","Growth (2016-2050)"
Volumes (trillion cubic feet),,76-AEO2017.2.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Imports,"Natural Gas: Volumes: Imports": Reference case,76-AEO2017.3.ref2017-d120816a,"Tcf",2.718347,3.006453,2.728998,2.560623,2.331337,2.157975,2.025053,1.904247,1.78307,1.738015,1.702416,1.676621,1.5956,1.561499,1.486779,1.446353,1.415493,1.4065,1.38468,1.363666,1.325713,1.288849,1.272909,1.275812,1.277851,1.277485,1.283342,1.27939,1.280254,1.280378,1.281697,1.277503,1.276138,1.266605,1.254268,1.256174,"-2.5%"
Pipeline Imports from Canada,"Natural Gas: Volumes: Imports: Pipeline Imports from Canada": Reference case,76-AEO2017.4.ref2017-d120816a,"Tcf",2.626342,2.925014,2.655148,2.487323,2.267037,2.102675,1.969753,1.848947,1.72777,1.682715,1.647116,1.621321,1.5403,1.506199,1.431479,1.391053,1.360193,1.3512,1.32938,1.308366,1.270413,1.233549,1.217609,1.220512,1.222551,1.222185,1.228042,1.22409,1.224954,1.225078,1.226397,1.222203,1.220838,1.211305,1.198968,1.200874,"-2.6%"
Pipeline Imports from Mexico,"Natural Gas: Volumes: Imports: Pipeline Imports from Mexico": Reference case,76-AEO2017.5.ref2017-d120816a,"Tcf",0.000932,0.000919,0.00085,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,"-3.2%"
Pipeline Imports from Bahamas,"Natural Gas: Volumes: Imports: Pipeline Imports from Bahamas": Reference case,76-AEO2017.6.ref2017-d120816a,"Tcf",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"- -"
Liquefied Natural Gas Imports,"Natural Gas: Volumes: Imports: Liquefied Natural Gas Imports": Reference case,76-AEO2017.7.ref2017-d120816a,"Tcf",0.091073,0.08052,0.073,0.073,0.064,0.055,0.055,0.055,0.055,0.055,0.055,0.055,0.055,0.055,0.055,0.055,0.055,0.055,0.055,0.055,0.055,0.055,0.055,0.055,0.055,0.055,0.055,0.055,0.055,0.055,0.055,0.055,0.055,0.055,0.055,0.055,"-1.1%"
Exports,"Natural Gas: Volumes: Exports": Reference case,76-AEO2017.8.ref2017-d120816a,"Tcf",1.783513,2.067983,2.4349,3.33573,4.386096,5.520529,5.684289,5.85871,6.081054,6.265296,6.407351,6.546308,6.678864,6.740442,6.746965,6.802404,6.850599,6.904558,6.973719,7.036186,7.077948,7.068178,7.058207,7.043076,7.024226,7.004426,6.976526,6.951406,6.923289,6.898696,6.870255,6.850327,6.835006,6.828192,6.834615,6.816813,"3.6%"
Pipeline Exports to Canada,"Natural Gas: Volumes: Exports: Pipeline Exports to Canada": Reference case,76-AEO2017.9.ref2017-d120816a,"Tcf",0.700903,0.730001,0.725,0.736228,0.767211,0.780532,0.806774,0.826329,0.854424,0.861517,0.890608,0.919087,0.940971,0.958383,0.986615,0.995885,0.999239,1.004413,1.019988,1.029956,1.025825,1.031002,1.03634,1.035456,1.033056,1.02504,1.013102,1.008695,1.00345,0.998919,0.990167,0.990587,0.996924,1.016301,1.043835,1.047796,"1.1%"
Pipeline Exports to Mexico,"Natural Gas: Volumes: Exports: Pipeline Exports to Mexico": Reference case,76-AEO2017.10.ref2017-d120816a,"Tcf",1.054466,1.166,1.177,1.582102,1.745285,1.826497,1.841015,1.862548,1.856797,1.833946,1.813576,1.79072,1.768059,1.745559,1.72385,1.703352,1.681527,1.663644,1.650563,1.636397,1.615623,1.600677,1.585366,1.57112,1.55467,1.542886,1.526924,1.506211,1.483339,1.463277,1.443587,1.423239,1.401582,1.37539,1.35428,1.332516,"0.4%"
Liquefied Natural Gas Exports,"Natural Gas: Volumes: Exports: Liquefied Natural Gas Exports": Reference case,76-AEO2017.11.ref2017-d120816a,"Tcf",0.028144,0.171982,0.5329,1.0174,1.8736,2.9135,3.0365,3.169834,3.369833,3.569834,3.703167,3.8365,3.969833,4.0365,4.0365,4.103167,4.169833,4.2365,4.303167,4.369833,4.4365,4.4365,4.4365,4.4365,4.4365,4.4365,4.4365,4.4365,4.4365,4.4365,4.4365,4.4365,4.4365,4.4365,4.4365,4.4365,"10.0%"
