"Oil and Gas Supply"
"https://www.eia.gov/outlooks/aeo/data/browser/#/?id=14-AEO2017&cases=ref2017&sourcekey=0"
"Thu Oct 25 2018 11:19:25 GMT-0400 (Eastern Daylight Time)"
"Source: U.S. Energy Information Administration"
"",full name,api key,"units","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025","2026","2027","2028","2029","2030","2031","2032","2033","2034","2035","2036","2037","2038","2039","2040","2041","2042","2043","2044","2045","2046","2047","2048","2049","2050","Growth (2016-2050)"
Crude Oil,,14-AEO2017.2.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lower 48 Average Wellhead Price,,14-AEO2017.4.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(2016 dollars per barrel),"Oil and Gas: Crude Oil: Lower 48 Average Wellhead Price: ": Reference case,14-AEO2017.5.ref2017-d120816a,"2016 $/b",45.149582,42.790501,49.896046,61.042881,67.951141,72.179626,75.249626,77.840347,79.083725,80.566818,83.048569,85.351501,86.403114,86.853218,87.940559,90.441734,92.688309,95.323692,95.338295,97.229034,98.081802,100.946007,101.416489,102.523911,104.092339,105.116966,105.684593,106.023781,106.68354,107.187706,107.699524,108.544441,109.639275,110.058914,111.615089,112.836906,"2.9%"
Production (million barrels per day),,14-AEO2017.7.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United States Total,"Oil and Gas: Crude Oil: Production: United States Total": Reference case,14-AEO2017.8.ref2017-d120816a,"MMb/d",9.415,8.74155,8.69726,9.31594,9.686486,9.884349,10.035125,10.151676,10.30746,10.342982,10.379202,10.524902,10.535959,10.540251,10.547845,10.540501,10.492424,10.42249,10.270612,10.233369,10.234245,10.253787,10.311984,10.357119,10.355707,10.341019,10.326171,10.298027,10.282964,10.24287,10.182081,10.165522,10.101603,10.016133,9.913507,9.863916,"0.4%"
Lower 48 Onshore,"Oil and Gas: Crude Oil: Production: Lower 48 Onshore": Reference case,14-AEO2017.9.ref2017-d120816a,"MMb/d",7.325,6.543797,6.322368,6.891063,7.212438,7.405079,7.583104,7.742254,7.845007,7.950373,8.057179,8.170565,8.218252,8.273786,8.342917,8.382091,8.380344,8.349522,8.223269,8.217367,8.191116,8.246955,8.277977,8.338232,8.400371,8.372786,8.336337,8.342517,8.34746,8.355255,8.357007,8.349102,8.327183,8.265783,8.1803,8.140748,"0.6%"
Tight Oil,"Oil and Gas: Crude Oil: Production: Lower 48 Onshore: Tight Oil": Reference case,14-AEO2017.10.ref2017-d120816a,"MMb/d",4.872933,4.59501,4.349813,4.618024,4.987449,5.219607,5.423583,5.595487,5.697198,5.811352,5.910434,6.00935,6.040193,6.085408,6.142638,6.176579,6.185044,6.159388,6.041932,6.039777,6.022711,6.100213,6.148883,6.215642,6.283252,6.296702,6.285277,6.312186,6.349721,6.365615,6.385984,6.393298,6.384366,6.336224,6.25937,6.233251,"0.9%"
Carbon Dioxide Enhanced Oil Recovery,"Oil and Gas: Crude Oil: Production: Lower 48 Onshore: CO2 EOR": Reference case,14-AEO2017.11.ref2017-d120816a,"MMb/d",0.306395,0.30365,0.301057,0.300784,0.304103,0.313986,0.330171,0.351202,0.374483,0.397415,0.420571,0.440588,0.458439,0.471857,0.482097,0.48629,0.487332,0.488272,0.486789,0.488576,0.4901,0.476617,0.464738,0.453628,0.444667,0.429784,0.415098,0.397129,0.370714,0.357472,0.348393,0.347104,0.343842,0.339677,0.342708,0.344354,"0.4%"
Other,"Oil and Gas: Crude Oil: Production: Lower 48 Onshore: Other": Reference case,14-AEO2017.12.ref2017-d120816a,"MMb/d",2.145671,1.645138,1.671498,1.972255,1.920885,1.871486,1.82935,1.795566,1.773326,1.741606,1.726174,1.720627,1.71962,1.716521,1.718183,1.719222,1.707968,1.701862,1.694548,1.689014,1.678305,1.670125,1.664356,1.668962,1.672451,1.646299,1.635961,1.633203,1.627025,1.632168,1.62263,1.6087,1.598976,1.589883,1.578222,1.563143,"-0.2%"
Lower 48 Offshore,"Oil and Gas: Crude Oil: Production: Lower 48 Offshore": Reference case,14-AEO2017.13.ref2017-d120816a,"MMb/d",1.607,1.721829,1.915419,1.964877,2.03247,2.048053,1.96463,1.885157,1.931097,1.855922,1.779353,1.729193,1.6839,1.644854,1.600223,1.560105,1.520588,1.490075,1.483335,1.469084,1.516645,1.49879,1.542642,1.54264,1.492822,1.493561,1.50191,1.478063,1.481153,1.460438,1.426028,1.441234,1.41907,1.41173,1.412794,1.426654,"-0.6%"
