,AB,BC,MB,NB,NL,NT,NS,NU,ON,PE,QC,SK,YT,MNW,MNE,MIW,MIN,MSW,AL,AK,AZ,AR,CA,CO,CT,DE,FL,GA,HI,ID,IL,IN,IA,KS,KY,LA,ME,MD,MA,MI,MN,MS,MO,MT,NE,NV,NH,NJ,NM,NY,NC,ND,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VT,VA,WA,WV,WI,WY
AB,0.42821891169049636,1.2990112648011625,1.976611203492588,5.071220177051084,6.024774821148248,2.069085779744431,5.276948989035697,4.28180023507915,3.9243011666327883,5.2098057570405185,4.321722299673718,1.1060078834560856,2.6012890861584403,5.257142922848303,3.302576175650767,3.485153423109409,5.246137028598812,5.521776817004644,4.214545496800022,3.5391895990055144,2.949890566123288,3.6683504586284004,2.8941379088771555,2.280303997729473,4.668275665764821,4.573117762437039,4.966547547338437,4.380594129744651,6.888947587934295,1.508822907013781,3.3295384974883095,3.6395558493908613,2.8509807595432535,2.980967255640348,3.8141414772665145,4.382126854824093,4.7480121330085145,4.516538361311528,4.770380790012757,3.694922821098413,2.5947111864302173,4.098893607582329,3.0227913053904216,1.345378796205894,2.697609970050608,2.5563207145764637,4.687589444079518,4.6154049305351155,2.833281089956068,4.632458529611596,4.522450705057773,2.1555051254252686,3.894897277053837,3.231160382967228,1.56697831928262,4.590238038502056,4.76041653888979,4.845027562879774,2.42030718855032,3.788357128346478,4.0669451333556434,1.911512394103594,4.424635645244401,4.788591941851739,1.3441935384806916,4.157479472215621,3.2093613248543424,2.1119909338447225
BC,1.2990112648011625,0.42821891169049636,2.833401213533847,5.941358211799076,6.890711026247849,2.442200013834583,6.145909118477091,5.039431891224784,4.7631714337578925,6.08043291113761,5.183507684765643,1.9762565214955496,2.336011709166637,5.516853594699356,3.2883584722432384,3.509892337311411,5.50039796138037,5.980811228220829,4.877574833098836,3.1265908768418322,2.976066846385333,4.274597970147989,2.662996333412355,2.720436328195481,5.508256991607545,5.394674526452472,5.647115121401122,5.074316643214809,6.036286947718378,1.485574216051009,4.109483806024448,4.3999354345892225,3.5726941635760174,3.5579538440484386,4.556358119888842,4.947070577614273,5.607431928262765,5.329686285484421,5.622550759861882,4.507246791223328,3.3871690090827786,4.697298885056649,3.678606235295454,1.9270150213822574,3.3825153388036555,2.4776051185380132,5.542009423499398,5.449458366982581,3.094826550196755,5.467097846681048,5.267652505688357,2.963341672799249,4.680235042351637,3.755716660955972,0.96524759943667,5.414951008571655,5.608863416906161,5.570304808787456,3.1512585960095687,4.434478786450963,4.532873827950788,2.0900654900810727,5.282707949293466,5.583470792067922,0.6768763489714499,4.932866731950072,4.00419569520133,2.6042353752899783
MB,1.976611203492588,2.833401213533847,0.42821891169049636,3.5595306026236555,4.589334291477667,2.6846913062213056,3.754338030285434,3.384697092655047,2.383990752287019,3.7062519672779883,2.778708478275382,1.3433679252490902,3.8286432275298266,4.782607343574184,3.593174857238775,3.674179226477993,4.7827933731706915,4.6463809393146365,3.012143594151586,4.809447175980705,3.2584031026031326,2.6524837363210643,3.5972218886613656,2.081192103135712,3.1250833018100184,3.049484658230026,3.685839506063858,3.1009991375697403,8.324227205689882,2.496071644030584,1.9165615170176216,2.2544901334621184,1.6668974314295792,2.17199471681877,2.4606444154107883,3.379194013961415,3.202300041922122,3.004863839181319,3.2219901252383725,2.1961284390487728,1.225931059876079,3.0502263453792056,1.9931157764816594,1.66546164256235,1.6683384694232757,3.1359325317540048,3.1393806078708564,3.0774049854342627,2.7658994585800794,3.093850432166574,3.130828760952309,0.8601116906739974,2.4435807574133164,2.4892349392234596,2.956716801227524,3.0625615390555603,3.212626856609636,3.4815599140963966,1.335754184073793,2.6630906360734787,3.3112198033062654,2.3988203288020413,2.8778677596992064,3.301704890687557,2.820973334576085,2.7179500884629864,1.7665374194786772,1.8952166040300258
NB,5.071220177051083,5.941358211799076,3.5595306026236555,0.42821891169049636,1.6321488598245577,5.044755240201809,0.6690066658832455,2.9766131454612075,1.9501612405267437,0.5951097625131194,1.3136307592848033,4.396963691696516,6.458792607601474,5.9562876136061,6.0966278970667,6.062118176256724,5.976281117712152,5.044559874215024,3.4299028244044303,7.371656052300101,5.855985380947114,3.8168916059855866,6.4218199873316975,4.700558581825244,1.549455767570791,1.875345882840857,3.3624199595450706,3.200889039582147,11.44426394545526,5.5782120519811,2.852043192462536,2.8386502758289507,3.4609019704687367,4.075721893640265,2.9130881858066866,4.071838106089512,1.083206535771436,2.006327775467963,1.264463475150275,2.376051065308891,3.2793015780205086,3.846939595797139,3.7070360923858376,4.734031773729929,3.7112460880662868,5.954021388993621,1.2403728911787675,1.6688464181804468,5.189447203137224,1.65422750149997,2.757659853281735,3.5698672508125275,2.523180384708237,4.259267694923622,6.087203386577741,1.8242887269090684,1.3531060659398955,2.9556601310594,3.6741219765146784,3.5725800777715366,4.560720390110907,5.321839171270441,1.3084763411028646,2.2110917197458364,5.948127404516379,2.525804560239713,2.82396630977852,4.601048487199225
NL,6.024774821148248,6.890711026247849,4.589334291477667,1.6321488598245577,0.42821891169049636,5.691056059861984,1.5863829195377424,3.0637471971421677,3.1499148933144543,1.4667172781450575,2.5063411172724,5.348293968924167,7.111851026952998,7.1120276223116266,7.287632696706544,7.25953208950482,7.133603694610007,6.130508618538568,4.605378446899842,7.950090255541164,7.037397450501496,5.018101706188546,7.578746824881873,5.86350030495532,2.7120647786024863,3.036326805020304,4.449265720908609,4.3617413053788985,12.473475756453285,6.650244512218029,4.047646297535378,4.042580217895756,4.643861235201444,5.273012830912398,4.11394640614286,5.239557112174936,2.270956322309288,3.170514885905402,2.428207114710439,3.5772315665905894,4.422850893363145,5.031344559547935,4.9035844727122395,5.808034164806709,4.890301279709182,7.108056152780584,2.4245103542089845,2.8337116452268742,6.3777241197891135,2.8168354372187823,3.903691906685915,4.668082893237389,3.7253600868227523,5.4621182891985205,7.100392045052621,2.984876860307312,2.510922362144172,4.053558893394871,4.826184314313167,4.770833870408419,5.752153929154361,6.447882810315376,2.512052139122952,3.3194272114553307,6.930026824631995,3.7141907192970876,4.009488594316311,5.75133534489421
NT,2.0690857797444306,2.4422000138345825,2.6846913062213056,5.044755240201809,5.691056059861984,0.42821891169049636,5.281706463378801,3.350411247921161,4.392302839393396,5.140185401863158,4.538375220953845,2.0258126131933496,1.8529004563617824,6.772739960258259,4.94185363434174,5.1194727056506935,6.765660881054167,6.8428038241661335,5.2682248083727785,2.759163242202574,4.587558799272653,4.8680558153194875,4.51020342134876,3.7849434247662086,5.058885231799067,5.085374144622826,5.93405997277015,5.353256478303881,7.666032018600224,3.1331135590823185,4.150161775744458,4.4908523085689875,3.904382185350232,4.281855994090363,4.703792682808711,5.603121347875111,4.957585410433551,5.077206638373523,5.054469025340688,4.338824489377884,3.4823659169937793,5.282290829143444,4.193747359366324,2.867794961833542,3.852265271717266,4.194438450184009,4.956666027704998,5.050337574975077,4.410558589370364,5.062213953986441,5.3446990569889365,3.0808169574767614,4.63278301873299,4.579283393563411,2.9495233652614217,5.083552296184224,5.078295992641705,5.704310922985038,3.518179104815565,4.907494216947477,5.434756264444344,3.5442194313448168,4.677624606249773,5.412307580687815,2.651508173635488,4.908060359357952,3.9898533762144655,3.592282352767528
NS,5.276948989035697,6.145909118477091,3.754338030285434,0.6690066658832454,1.5863829195377424,5.281706463378801,0.42821891169049636,3.195768972702282,2.05907492555645,0.6597040349419302,1.4508866018510296,4.605016131794667,6.694050013014196,5.956412650867411,6.20443549433554,6.160027166515716,5.977644666864985,5.001404783170283,3.4473852526698257,7.609573081043478,5.974908408637709,3.8752282240312583,6.558671573684938,4.837087241198833,1.5542703814832874,1.8781664120049948,3.316218077158161,3.2041035230784125,11.624328933666824,5.754062185685227,2.9621856934269193,2.9178447009392645,3.5848496373510224,4.1777012451649576,2.9723527574964477,4.0815642637071585,1.1291093774351773,2.012382298524326,1.271707037400651,2.4763717967910024,3.433658296953503,3.8746329161040625,3.811574542658347,4.9115063228122615,3.8380369168524826,6.093502472387431,1.276255381038082,1.675911131423429,5.302229436990386,1.6588737396981932,2.7480445155416886,3.743450529241078,2.588857808596119,4.345179222546591,6.278197384467178,1.8267202586257003,1.3531625649766938,2.9142903606950292,3.8214407099388987,3.6232757656344345,4.597729276699353,5.477553841718077,1.4125050733391142,2.1729979110702686,6.1463585761728305,2.560533740518268,2.948589917799117,4.746011077223562
NU,4.281800235079151,5.039431891224783,3.3846970926550464,2.9766131454612075,3.0637471971421677,3.3504112479211607,3.195768972702281,0.42821891169049636,3.4420649702966473,2.976415502422993,3.0762013239985397,3.7060976421324954,4.695797688555095,7.414903412660677,6.549651276993816,6.626143822621702,7.423762959122518,6.875035638822887,5.050831745937786,5.432981397834079,6.213512375002677,5.077056420260749,6.496317290475662,5.032725004086684,3.6873614607431215,3.9179180980372834,5.358122569012318,4.948418276360522,10.55349463912488,5.226838250638517,3.9407519079567903,4.173535581982025,4.225676467713499,4.903933214304891,4.367262521130638,5.648436849351291,3.3107139399869965,3.9987136875578604,3.5003845404271456,3.7241816017928677,3.775941981994497,5.3307576452875995,4.594091902031214,4.5091432966314775,4.376766011684749,6.052550008869339,3.4121033093393915,3.7593477187357776,5.708099304239099,3.7578522540788346,4.653281273350245,3.7178907696698205,4.048850201658767,5.2026249952613375,5.416811017881422,3.883257739871244,3.573902658324235,4.976807615642912,4.1231346672618745,4.937897274635157,5.872064698572115,5.301038302744715,3.2166172591530846,4.334087474875246,5.166441138816532,4.235629048001154,3.7973158177940523,4.850629502443081
ON,3.9243011666327883,4.7631714337578925,2.383990752287019,1.9501612405267437,3.1499148933144543,4.3923028393933965,2.05907492555645,3.4420649702966464,0.42821891169049636,2.1170413671437576,1.07481990211104,3.2976724367328965,5.696347962740378,4.604865975503691,4.576945826603905,4.5401786863692895,4.620525214150536,3.8897875544574245,2.0963351077826737,6.66840060236871,4.344062018513214,2.342035138341665,4.934925195536624,3.215835708856525,1.1733065042136828,1.1219523964558167,2.3487578846350616,1.9496364535625983,10.076248702286318,4.220269783084085,1.33214252555665,1.3413655055640037,1.9561952843822723,2.5538787230782063,1.4632928863095964,2.734175107210277,1.3760041172504385,1.1196303042629074,1.3212826550073435,0.8563338175991173,1.86414593415824,2.4549921702458306,2.185506389411831,3.395969161838816,2.210620409060722,4.472887799021609,1.2614282729792923,1.1219041366537776,3.6723454841409984,1.1381407595133357,1.6432333093830853,2.241539432422894,1.0822742276449762,2.7421857157571945,4.807193382685746,1.1238729105223337,1.2890462613919678,1.982090154697075,2.224385306556733,2.1211593990249504,3.1237471952576827,3.885375928805595,1.0755178242550454,1.4693053193193286,4.719719272942658,1.2243223281214153,1.3230617343610276,3.1367131782457105
PE,5.209805757040519,6.080432911137612,3.7062519672779883,0.5951097625131192,1.4667172781450575,5.140185401863158,0.6597040349419305,2.9764155024229932,2.1170413671437576,0.42821891169049636,1.479997837920882,4.534159554765104,6.558440990209496,6.108303191038935,6.263414852315803,6.22900047430154,6.128649531815146,5.181655481514542,3.585571854507098,7.462668478612285,6.022253185174296,3.980589622314823,6.586120363383955,4.8651455675127195,1.698455843098686,2.0249784210731576,3.497395259398399,3.3526364109299545,11.596041351635607,5.732751696670364,3.0189028435125236,3.00435858039919,3.6270645707771547,4.242611975800454,3.076556574771086,4.22587617709208,1.2395848041746877,2.157240065155532,1.412337039871035,2.542834015072624,3.4411783876750768,4.005192051612855,3.873924685570583,4.888237534098856,3.8771277596363514,6.117975451200428,1.3958148630854155,1.8190199543879102,5.3560924128755705,1.80364010545966,2.905149230437972,3.726133733380968,2.687278342196176,4.425708319059143,6.234699835717065,1.9736528640292403,1.4994898819074083,3.092168896538327,3.8372380695767268,3.7350618181104305,4.721127801980965,5.482673872566148,1.4748519415757104,2.347717910320951,6.091477452994442,2.6846555853541707,2.990223759558898,4.76431556656811
QC,4.321722299673718,5.183507684765643,2.7787084782753824,1.3136307592848033,2.5063411172724,4.538375220953845,1.4508866018510298,3.0762013239985393,1.0748199021110398,1.479997837920882,0.42821891169049636,3.6618790615816312,5.910044049061749,5.203584241770799,5.212527154966983,5.181479768264921,5.22090092646078,4.405571256093789,2.6721000777828685,6.8607635014538575,4.970574270908914,2.97924632569396,5.54068627754136,3.81890809197436,1.0489201483887725,1.2755694175200858,2.775523475001234,2.482880429284736,10.61205086017348,4.741099155524061,1.96966850640231,1.9831938379378546,2.5755459280043627,3.1949066685015177,2.085677930822681,3.318547272694467,0.8602034130120133,1.3707091313049675,0.9486212557139801,1.502886231182204,2.4112721525333707,3.0603800903797183,2.82554392963792,3.9012648707491597,2.8262466556398427,5.074150636092006,0.8490653445427719,1.1116792266911115,4.304555601095763,1.1109690217632724,2.09395533406925,2.7317068486101364,1.694184718245477,3.3885152859983414,5.284448417752795,1.2377836807657652,0.9883389402119076,2.374706813616554,2.7990995093992117,2.748972213603036,3.749788207945726,4.4549882696979966,0.5797162586519067,1.689975493286504,5.1675578194138865,1.7601693609572926,1.938563910987541,3.724392560373049
SK,1.1060078834560856,1.9762565214955496,1.3433679252490902,4.396963691696516,5.3482939689241675,2.0258126131933496,4.605016131794666,3.7060976421324954,3.297672436732896,4.534159554765104,3.6618790615816312,0.42821891169049636,2.9690063331170515,5.180731787793187,3.5164805055380866,3.6604260205717067,5.174546791141579,5.266484120492865,3.788738096712931,3.9455597885927935,3.158175025385894,3.3187607101556984,3.276016258666417,2.2090348467925662,4.036613726185411,3.964505124162245,4.508749580809208,3.9185828691532123,7.560623800156318,1.9516605023393356,2.7879723476655487,3.1160108621639955,2.401376557131513,2.696414715788825,3.3087634444272003,4.052686987384917,4.090843275329971,3.918385319358547,4.122877191826716,3.1052627167294586,2.0575378213989413,3.7435519456832718,2.6459912704684703,1.352661216359127,2.3040951252897313,2.8693497831823223,4.037312903888692,3.9913280194620087,2.8663382930674546,4.007581082086774,4.0020856860624665,1.6150708357263157,3.3365726439390326,2.9873134167130506,2.207407606062194,3.9777105507909174,4.117749103552946,4.342133390624767,1.9839784388431612,3.391926814852262,3.843250177689925,2.1335163009499043,3.7699429340520676,4.2097363729580035,2.012378100596475,3.607522012857197,2.6506663032556745,2.0113565863762863
YT,2.60128908615844,2.3360117091666366,3.8286432275298266,6.458792607601475,7.111851026952999,1.8529004563617824,6.694050013014196,4.695797688555095,5.696347962740378,6.558440990209496,5.910044049061749,2.969006333117051,0.42821891169049636,7.3702956701775335,5.19568107941275,5.415356493719848,7.356293660060171,7.69476987122833,6.324802574835698,1.4090228750056144,4.878826549724796,5.819781239056393,4.551605490696887,4.439771208550609,6.396800351431004,6.387809958512995,7.049536834126808,6.45936932019155,6.508112075318388,3.3643366928105896,5.312735643113771,5.646680071054929,4.938422968413195,5.147579527893477,5.844744587177693,6.543193979903838,6.336237608542359,6.363452681231171,6.418627402278564,5.580804085014376,4.591975274358287,6.249716645914814,5.158299622134499,3.5160924629895316,4.8216560778389,4.385294047732187,6.322917236946399,6.375784139870051,4.929552797278732,6.3893197132230215,6.528939755695933,4.153183970469257,5.843037523573651,5.403701819291901,2.8438065598546425,6.391963150332196,6.434931451039456,6.875207911395531,4.514819800894578,5.917211340359107,6.239361605701743,3.9367998058178477,6.043586775640281,6.681050163982794,2.582320515623018,6.11795636896997,5.166379033977652,4.280171535069803
MNW,5.257142922848301,5.516853594699356,4.782607343574184,5.956287613606102,7.1120276223116266,6.772739960258258,5.956412650867411,7.414903412660679,4.6048659755036905,6.108303191038935,5.203584241770799,5.180731787793186,7.3702956701775335,0.42821891169049636,2.8315355889333103,2.5902049122355573,0.46169360395701464,1.6933572450455248,2.9628773670737174,8.215050207834228,3.04390997487266,2.768702343492179,3.6573374023259904,3.423095482978366,4.8382856885175345,4.511784140756935,3.150415499900941,3.183903679505664,8.309026831002209,4.459699801684481,3.9130967611621155,3.7283563475416086,3.656611461404424,3.041644875882111,3.572545546495521,2.3163085402556165,5.301667806663469,4.379282044263753,5.124440179623062,4.219984902917953,4.136867201881902,2.578106532281193,3.2859221005331394,4.359979879737126,3.564943001649891,3.574319792110834,5.1443674753015705,4.717519517923174,2.869118875745447,4.733050252196275,3.6367194541527494,4.35550054457845,3.951756101198442,2.72400931444273,5.098150387741361,4.5631866343876295,5.038164494017998,3.5145887779934237,3.8818259593589906,2.9349233387978737,1.9712138984873424,3.865671960821045,5.135849740423488,4.22654805844565,5.290667958095665,3.8769766116813558,4.048775751350709,3.611071138444685
MNE,3.302576175650767,3.2883584722432384,3.593174857238775,6.096627897066699,7.287632696706544,4.941853634341738,6.20443549433554,6.549651276993816,4.576945826603904,6.263414852315803,5.212527154966981,3.516480505538086,5.195681079412749,2.8315355889333107,0.42821891169049636,0.6703777115621933,2.8074551682688793,3.6871883125319806,3.5520978126815206,5.948089247729049,0.7869895879124975,2.9113669346213973,1.2576880320686474,1.954993410958789,5.161289819229642,4.88896981036141,4.215658319208148,3.8397710879069464,6.3900051873203925,2.286864392105045,3.673293380558921,3.735078879441837,3.074742052461104,2.456059402660451,3.7326876098317334,3.192999146253094,5.508796442144107,4.76621867169585,5.40574371102819,4.156296010834283,3.3667955652933514,3.1480690277244467,2.8210800031218044,2.5929325062054414,2.834517460241429,1.2396518410634232,5.3735128833825,5.051240415490514,1.3402640858163417,5.071234932795802,4.257573132451628,3.285572588363273,4.080362590805808,2.329303476435843,2.8030601246656257,4.933456221335519,5.3439386315017305,4.380042660607978,2.963131571562394,3.179364043736579,2.545808766348784,1.831209441966826,5.223843909214625,4.822777790828882,3.0438105505216524,4.194079358800636,3.7065930263146214,2.128835733360786
MIW,3.4851534231094083,3.5098923373114106,3.674179226477993,6.062118176256723,7.2595320895048205,5.1194727056506935,6.160027166515716,6.626143822621703,4.5401786863692895,6.22900047430154,5.181479768264921,3.660426020571707,5.415356493719848,2.5902049122355573,0.6703777115621931,0.42821891169049636,2.565930450631474,3.4675512260925143,3.430498018092215,6.178921935916172,0.9696716410235184,2.8086928180647766,1.4965670995295153,2.021920763923663,5.097521260697608,4.815929138554728,4.068340878056535,3.7199413802825334,6.558666478500041,2.4935034748212774,3.6401065921606257,3.6765945348021285,3.0631305577226264,2.4148536401545226,3.658080626087859,3.034551781968273,5.4611105979605465,4.690314588978925,5.349316384915999,4.115327151174126,3.3883134388669474,3.014188372970228,2.7841676648347224,2.7364183591607434,2.8325605763789437,1.4671962761403976,5.321940605783739,4.984879679836977,1.3564586426521468,5.004712032374222,4.1502150107932705,3.3438804116819023,4.017540693586505,2.253398597617936,3.032425621152142,4.861764279658498,5.284284084234483,4.252807637138921,2.9914324162137977,3.0780165130588295,2.3794819373900014,2.0035374325886295,5.184753618544305,4.727524326199552,3.2670364105100256,4.114633594941487,3.685884103274218,2.208237378616445
MIN,5.246137028598812,5.50039796138037,4.782793373170692,5.976281117712152,7.133603694610005,6.765660881054167,5.977644666864986,7.423762959122518,4.620525214150536,6.128649531815146,5.220900926460781,5.174546791141579,7.356293660060171,0.46169360395701464,2.8074551682688793,2.565930450631474,0.42821891169049636,1.7259090829179635,2.9812708472257508,8.19871694701214,3.0227161555807704,2.779013190075718,3.632572275192057,3.4144114019194824,4.858785195642255,4.532318937997056,3.1760453286185184,3.2042495822750383,8.276152260884803,4.443408909214166,3.9239294075907534,3.741900328762383,3.661601830610862,3.0429320811661107,3.587603130502897,2.3350297112124516,5.321549868983423,4.399659614174656,5.144924181254892,4.234190144647497,4.141128891849099,2.593793161070647,3.290638546576083,4.350462574311483,3.5673819770344863,3.553204919184408,5.164264395533874,4.737928222111957,2.855543557954519,4.753541389080799,3.658157169561217,4.3562434262092635,3.9677160373744744,2.725399501322459,5.079610632246661,4.583740229353915,5.058798699960367,3.5387582270465283,3.88303833049355,2.9479978226018044,1.9799344624545028,3.8506510985770874,5.154024582852261,4.24913151496368,5.273575629166862,3.8951948039731437,4.058675850108998,3.603143434466824
MSW,5.521776817004644,5.980811228220829,4.646380939314637,5.044559874215023,6.130508618538568,6.842803824166134,5.001404783170283,6.875035638822887,3.8897875544574245,5.181655481514542,4.405571256093789,5.266484120492865,7.69476987122833,1.6933572450455248,3.6871883125319806,3.467551226092514,1.7259090829179637,0.42821891169049636,2.254346707419973,8.617125104967743,3.788037621580493,2.422451924201134,4.498590085432979,3.702203419783162,3.933071351046537,3.615251747404674,2.1134403994436672,2.368586963937441,9.470176485684789,4.954049220466072,3.4222845803473483,3.144710867962451,3.4110657336151933,2.999554775566127,2.940833356860957,1.7104781987244406,4.40717651439017,3.4933385237482506,4.212336326813657,3.57907648204739,3.8830586192127083,2.0460272576494867,3.0866895632757836,4.6077111674554025,3.424069144859058,4.285963896335166,4.253143660247842,3.8191737600506093,3.369312371233495,3.831177995422458,2.7433136716966855,4.221042286897876,3.257682012060438,2.7231807622176585,5.654743590563803,3.6642533104906794,4.122720301599702,2.5177238927195296,3.7610414881758083,2.452064450246655,1.885512767566114,4.342010402418906,4.308060239631789,3.2623465939941454,5.785816205541344,3.098206720306308,3.584896545532818,3.847923629313906
AL,4.214545496800022,4.877574833098836,3.0121435941515857,3.4299028244044303,4.605378446899842,5.26822480837278,3.4473852526698257,5.050831745937787,2.0963351077826737,3.585571854507098,2.6721000777828685,3.788738096712931,6.324802574835698,2.9628773670737174,3.552097812681521,3.430498018092215,2.981270847225751,2.2543467074199723,0.42821891169049636,7.294980161673144,3.4444050141387805,1.1027266157323539,4.16231829959431,2.696831497499621,2.3215553113138987,1.9978178104019524,1.2024052893342678,0.7181385389310033,9.468498183311178,4.0033607923071335,1.6255130058020772,1.3237329031563292,1.8155895882373358,1.7926516644852761,1.1150654175815047,1.075141255049202,2.775091581718468,1.8633971249447139,2.606142262878971,1.7565218318253575,2.2145414279440736,0.8712474128482313,1.628657748250006,3.3814559510581654,1.9451648759328097,3.774916951587311,2.618242422117749,2.1999166866868447,2.7868652161672176,2.2167662078552084,1.1745138564084816,2.6246820353639944,1.4466320963986075,1.7245274702322215,4.708117721068128,2.0491789547878665,2.522692084623898,1.2587281451659118,2.2385938177463998,0.8778315335241023,1.603266132212116,3.465496787519715,2.601258922210436,1.7826356048168959,4.741379883865691,1.342421304483959,1.7934764262982017,2.747671961537131
