,AB,BC,MB,NB,NL,NT,NS,NU,ON,PE,QC,SK,YT,MNW,MNE,MIW,MIN,MSW,AL,AK,AZ,AR,CA,CO,CT,DE,FL,GA,HI,ID,IL,IN,IA,KS,KY,LA,ME,MD,MA,MI,MN,MS,MO,MT,NE,NV,NH,NJ,NM,NY,NC,ND,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VT,VA,WA,WV,WI,WY
AB,0.0,676.4866997515647,1202.889285442358,3606.977704530844,4347.759398253514,1274.7293982730039,3766.800886907359,2993.7062519796336,2715.9783136099186,3714.6397680587424,3024.7202424314028,526.5494385656815,1688.1786632634246,3751.414279178997,2232.9829292337677,2374.8205087001147,3742.8642028582117,3956.9986634018533,2941.4585079812186,2416.7992355097495,1958.994390879215,2517.13957882034,1915.6821925484799,1438.817099206166,3293.9448653593577,3220.0201739590084,3525.661370532643,3070.455611937982,5019.103583730044,839.4816834613406,2253.928969988906,2494.770101063496,1882.154983197956,1983.136733259119,2630.3992838460026,3071.646329939713,3355.8892076389457,3176.0657085751673,3373.2665983574325,2537.7826744191098,1683.068533779,2851.6127892201034,2015.6283063472404,712.5079374020377,1763.0068316879647,1653.2443816565358,3308.949032661895,3252.8715267371053,1868.4047578739094,3266.1198435337833,3180.658791982947,1341.8654241527463,2693.1355082613554,2177.5026144032017,884.6604942052594,3233.3202896670614,3365.5257364474805,3431.256943407575,1547.5804526907907,2610.3683671253298,2826.7931892150013,1152.3164036709445,3104.6698529864416,3387.414175517727,711.5871540671668,2897.1260026472673,2160.567724210609,1308.0608417519863
BC,676.4866997515647,0.0,1868.498077483807,4282.956088300796,5020.4735343970315,1564.5881871660456,4441.864199167285,3582.2825490295645,3367.665913414846,4390.998130744535,3694.2097584709145,1202.6137459836332,1482.0943807833623,3953.1739922301895,2221.9377159612263,2394.039265461318,3940.3902131392083,4313.605692398783,3456.541726097459,2096.2663933446206,1979.3297847110348,2988.1110760268207,1736.1167645759078,1780.7397936663406,3946.4956060065633,3858.257547038862,4054.369403499355,3609.3832357329816,4356.702747931229,821.4206265781838,2859.8399266866095,3085.4811635938436,2442.827705135082,2431.3764905316525,3207.000221227517,3510.5304257984667,4023.5409835369214,3807.77056182581,4035.286250311545,3168.8474279345264,2298.700004615323,3316.491941898051,2525.1069162528524,1164.3598272583915,2295.0847385445886,1592.0931168425907,3972.716634679524,3900.817107130933,2071.5898508540963,3914.520573133963,3759.5787893355655,1969.444063215819,3303.235667201382,2585.0111829648645,417.1979270919859,3874.0096036828804,4024.6530546577155,3994.6982836264156,2115.429841290126,3112.316629036127,3188.756134571927,1291.0277671742463,3771.274812298254,4004.92645403532,193.17285976843695,3499.49597809939,2778.045447946215,1690.467527427181
MB,1202.889285442358,1868.4980774838068,0.0,2432.601416544201,3232.6182016896514,1752.970794706397,2583.9401752680733,2296.7796632385475,1519.367542888887,2546.5838733302467,1826.0092937419463,710.9457653729253,2641.665162721954,3382.764960209784,2458.738406251196,2521.6677351736926,3382.909479792837,3276.935653937899,2007.3564892944876,3403.6158434102535,2198.6664859426296,1727.9499127579043,2461.8823968031106,1284.13435770775,2095.0952134941585,2036.3653949347342,2530.7261795055065,2076.3851080080694,6134.119773718072,1606.439084445225,1156.238882416364,1418.7632530927076,962.2839944311652,1354.6755840286264,1578.9169675080038,2292.504522867104,2155.0820720114757,2001.701114167175,2170.378576893336,1373.4241893026333,619.7133639840481,2036.9415845280444,1215.711083971366,961.1685826239046,963.4034840926097,2103.5235830514193,2106.202267153833,2058.055674987041,1816.058435274053,2070.831540491762,2099.5586503627087,335.5216885602918,1565.6608363038613,1601.1278987697585,1964.297443025799,2046.5243449084091,2163.1045962814087,2372.028843104917,705.030928590034,1736.1900248609497,2239.697847119371,1530.8880979781966,1903.0425092961655,2232.3060598432644,1858.8433133014903,1778.808325038466,1039.6906533640708,1139.656800945527
NB,3606.9777045308433,4282.956088300796,2432.601416544201,0.0,935.2891012833444,3586.418063964014,187.05919108334515,1979.7541844632783,1182.3412775373768,129.65139219289736,687.8440498017178,3083.1725253348873,4684.931927321311,4294.554194004895,4403.579422420509,4376.7700837111215,4310.086415390231,3586.2662912811556,2331.8983412698285,5394.102117920744,4216.633061479093,2632.535758166673,4656.2092521874265,3319.0242809813008,871.0478652743586,1124.2199651132812,2279.4733740828606,2153.9859159498137,8557.96209347174,4000.8411313823626,1882.9803484376773,1872.5758818146794,2355.9804429801247,2833.6115329662352,1930.403968932531,2830.5943606020546,508.83590629822913,1225.975002297518,649.6477867533589,1513.1994907445298,2214.9017464090743,2655.878941405677,2547.19303142001,3345.0283783311006,2550.4636229377943,4292.79364706909,630.9326940131015,963.7980908862432,3698.8239528502645,952.4411897102152,1809.657387566616,2440.6315801013384,1627.4988726369065,2976.201546440613,4396.257865249417,1084.5555298531256,718.5109703659485,1963.4765546564806,2521.623259773093,2442.739076050219,3210.3891092619688,3801.674426072866,683.8397710174781,1385.0486142761108,4288.214826305272,1629.537498537232,1861.1684461645668,3241.7185314934363
NL,4347.759398253514,5020.4735343970315,3232.6182016896514,935.2891012833444,0.0,4088.5055099283895,899.7352177483561,2047.4454392693985,2114.3859678587414,806.7713618644452,1614.417062245244,3822.2261898698657,5192.269105092716,5192.4062955617455,5328.827449023515,5306.997116041142,5209.167956238475,4429.900114571549,3245.0823186666516,5843.46647416038,5134.42884726494,3565.711909164952,5554.983357624327,4222.4711308225305,1774.2362432668212,2026.1435404801518,3123.8040570721696,3055.8095428830293,9357.5190703793,4833.663903035785,2811.800630189349,2807.864978384594,3274.9781880577793,3763.7430297626347,2863.306757344494,3737.752506676764,1431.5552323871013,2130.389347944678,1553.7176161112652,2446.3526474244873,3103.2833445889873,3575.9997971239873,3476.747662910001,4179.381517135577,3466.428436558619,5189.321006277082,1550.845738214695,1868.7392405013325,4621.9527870266975,1855.6287323314657,2699.967734054438,3293.795107440126,2561.428271863513,3910.652137225512,5183.367041563325,1986.1739619957286,1617.976063668474,2816.393909454681,3416.618313440412,3373.6185799297195,4135.970207811652,4676.456505213312,1618.8537460425787,2246.0738820402585,5051.0165388251025,2552.751199139163,2782.157307497601,4135.334279668002
NT,1274.7293982730034,1564.5881871660454,1752.9707947063969,3586.418063964014,4088.5055099283895,0.0,3770.4967945551725,2270.1442456566556,3079.5516798126414,3660.554262896436,3193.029965392075,1241.1120593937997,1106.7829350002987,4928.826132106018,3506.4775735603644,3644.46332749298,4923.326654634782,4983.256182964374,3760.023390339307,1810.8253153807138,3231.2388867956774,3449.146749672339,3171.144325637859,2607.716385788221,3597.395137142252,3617.973403765908,4277.286353585006,3826.0813817313665,5622.792029146043,2101.333626384314,2891.4411521569327,3156.111154556205,2700.503986277904,2993.749569114128,3321.536735636137,4020.1922514424778,3518.699014471694,3611.628367170152,3593.9643480203927,3038.006307507844,2372.6549972484313,3770.950766924314,2925.301196420958,1895.2173213956676,2660.016264057034,2925.838079576643,3517.9847796881368,3590.754775482192,3093.7339036336166,3599.9810995463577,3819.433434395758,2060.706311155847,3266.37192725277,3224.8100270596537,1958.709125972716,3616.558076411143,3612.474646620253,4098.802727833143,2400.4769517598575,3479.7850000720928,3889.395581907414,2420.7067281138857,3301.2077149609263,3871.956021334825,1727.1920338224627,3480.2248153845308,2766.9034253922173,2458.045052201737
NS,3766.800886907359,4441.864199167285,2583.9401752680733,187.05919108334513,899.7352177483563,3770.4967945551725,0.0,2150.0083234345666,1266.9523321479633,179.83231767085272,794.4730890067125,3244.8008493256607,4867.6947929014395,4294.65133087564,4487.331197943135,4452.831993832071,4311.145706808046,3552.7406809401277,2345.479799764099,5578.931147498649,4309.020007964658,2677.855341044738,4762.52423954022,3425.0883981858383,874.7881625617749,1126.4111309623895,2243.580823089985,2156.483130497032,8697.847990701897,4137.4526624499285,1968.5460251614256,1934.099131404803,2452.270847703566,2912.835557740115,1976.4444450246554,2838.150256384237,544.4961435010432,1230.6785396061973,655.2750450815898,1591.1349943287828,2334.8158304067674,2677.3928681100983,2628.4051263234264,3482.9018582367594,2648.9627760572967,4401.151394407806,658.8084867403621,969.2864079682248,3786.4403414156777,956.050682069384,1802.1875836902677,2575.482074294026,1678.5212588296472,3042.943067062225,4544.634109991384,1086.4444978263164,718.5548623992287,1931.3378945921145,2636.0697904870185,2482.1227000008635,3239.1399583711323,3922.64345288819,764.6558846391099,1355.4549289160518,4442.213366396628,1656.5173272734305,1957.9839648124116,3354.334660657515
NU,2993.706251979634,3582.2825490295636,2296.779663238547,1979.7541844632783,2047.4454392693985,2270.144245656655,2150.008323434566,0.0,2341.346667161911,1979.6006428225264,2057.12059448322,2546.4639837744985,3315.325717294232,5427.6994089152995,4755.516701270552,4814.940959605568,5434.582066216844,5008.295899776609,3591.1386788117075,3888.0167530150975,4494.38269423225,3611.5116682177663,4714.08347968176,3577.072213948587,2531.9085303776387,2711.019541299808,3829.861669457003,3511.5774036156845,7865.956030112514,3727.8716887818514,2728.758292289091,2909.5994065166547,2950.105751783246,3477.018587486033,3060.0987732709264,4055.3962055558786,2239.3048604260966,2773.7866769022394,2386.6530061387953,2560.512749987689,2600.723494438308,3808.602862034821,3236.314215154371,3170.320753555769,3067.4816871632047,4369.336924754867,2318.0705496493433,2587.832018822338,4101.745782538212,2586.670247078757,3282.296270831533,2555.6256328162885,2812.7358992283334,3709.0612971174814,3875.454576821398,2684.0931779432717,2443.7665404624345,3533.6320419811527,2870.444781029077,3503.404022545159,4229.124494684193,3785.5149928271926,2166.2045939302798,3034.326294361062,3680.9513837228706,2957.837547048509,2617.3280449829035,3435.6088851694108
ON,2715.9783136099186,3367.6659134148463,1519.3675428888873,1182.3412775373768,2114.3859678587414,3079.551679812642,1266.9523321479633,2341.3466671619103,0.0,1311.9843384875455,502.3206376389674,2229.1733939925093,4092.6165955400425,3244.6841984003668,3222.9940568662596,3194.4310116491447,3256.849287626271,2689.1659518412225,1295.8984036382772,4847.7687047862255,3042.0751521491134,1486.7737623939677,3501.0951231002055,2165.5974361171443,578.831273255097,538.9361469925562,1491.9964178720975,1181.9335897571855,7495.201133576655,2945.9054964313423,702.2251633095237,709.390158827412,1187.0289053046638,1651.3472878619289,804.111077213171,1791.4129481114103,736.2996281400741,537.1321985788059,693.7885274555387,332.58679727492796,1115.5191350076595,1574.5259451659151,1365.17230780893,2305.53652112121,1384.6824702593522,3142.155184762776,647.2898493043308,538.8986557191253,2520.243167884698,551.5122936020678,943.9002043478405,1408.7023275756221,508.1116302462318,1797.636096626148,3401.8649539099238,540.4281240615367,668.7452534179833,1207.1456820507838,1395.3759151962895,1315.1834866964482,2094.0572412280067,2685.73872138027,502.8628278019783,808.7819163055237,3333.9095204447344,618.4635991789136,695.1706290739907,2104.1300387316514
PE,3714.6397680587434,4390.998130744536,2546.5838733302467,129.65139219289728,806.7713618644453,3660.554262896436,179.83231767085294,1979.6006428225269,1311.9843384875458,0.0,817.0885425579913,3189.754968663994,4762.345107679724,4412.649530879423,4533.1501019459165,4506.414831564055,4428.455858156588,3692.770849573598,2452.831911772023,5464.806339992027,4345.800431581494,2759.7067541301267,4783.848199367533,3446.885884694337,986.8005691153278,1240.464006075082,2384.330743144015,2271.8728933358075,8675.87240381957,4120.897323703259,2012.6075026694261,2001.3085971166727,2485.0660840095134,2963.2623280134285,2057.396575802814,2950.2608986881805,630.3204580712004,1343.2132353136976,764.5253455894014,1642.7670585549927,2340.6579135806687,2778.819480766096,2676.8426697366913,3464.8251881469064,2679.3310207150516,4420.163555701085,751.6898713153233,1080.4624133692155,3828.284515477615,1068.5143717873352,1924.236485148743,2562.029289551682,1754.980568244861,3105.50317400293,4510.842456796301,1200.591059816977,832.2311979347339,2069.5252170225635,2648.34218085426,2568.9651917241818,3335.0037550888774,3926.621017411656,813.0908840767548,1491.1884999005329,4399.57823097659,1752.9430444724476,1990.3277722763175,3368.554748308832
